SNID,File_key,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Kron_Radius,Mag,Mag_Error,Flux,Flux_Error,ISOAREA_IMAGE,X_IMAGE,Y_IMAGE,CXX,CXY,CYY,OFFSET,RE,d_DLR,F_HOST_41998bu,jw03707-o126_t023_nircam_clear-f187n_i2d,0.0,0.0,-50.83,1.779,0.957,8.73,-2.7297,0.0867,12.35579,0.9861273,12,3809.2688,1509.4418,0.78172839,0.75888705,0.62508601,9.320651235967755,17.47634806577739,0.533329457669688,0.10814999999999997
1998bu,jw03707-o125_t023_miri_f2100w_i2d,161.6915885,11.8354185,-79.78,3.199,2.232,6.09,-5.9059,0.0694,230.3444,14.71976,92,1517.5177,849.7987,0.19745246,0.035966594,0.1009843,6.384766558524694,19.376045997091833,0.3295185488041775,0.16886
1998bu,jw03707-c1108_t023_miri_f2100w_i2d,161.6915888,11.8354179,-83.55,2.558,2.027,6.75,-6.0998,0.066,275.3661,16.74439,65,1517.5314,849.8648,0.24235925,0.020239946,0.15393551,6.365639857647774,17.391525624913214,0.3660196347886265,0.15427999999999997
1998bu,jw03707-o126_t023_nircam_clear-f335m_i2d,0.0,0.0,-87.96,598.287,63.732,3.5,-9.6195,0.2219,7043.987,1439.052,48702,2048.9019,481.2642,0.00024588947,1.7289454e-05,3.1011205e-06,325.3995419547562,1590.735103389084,0.20455922627311598,0.24351
1998bu,jw03707-o126_t023_nircam_clear-f300m_i2d,0.0,0.0,-89.17,583.389,36.132,3.5,-12.2142,0.0158,76854.98,1120.009,48071,2048.9077,481.9894,0.00076580542,2.2140222e-05,3.0988547e-06,324.7508098309099,1506.6096400143206,0.21555073139437966,0.23470000000000002
1998bu,jw03707-o125_t023_miri_f770w_i2d,0.0,0.0,5.22,4.713,1.733,8.15,-1.6772,0.0387,4.686855,0.1668761,100,1503.4578,856.8194,0.047407467,-0.052114539,0.33047986,13.086992518216645,38.37541488030887,0.3410254340971782,0.16402000000000005
1998bu,jw03707-c1108_t023_miri_f770w_i2d,0.0,0.0,4.86,4.445,1.66,8.25,-1.6725,0.0386,4.666633,0.1657828,91,1503.6201,856.8965,0.052845839,-0.052756794,0.36070511,12.95008232279533,36.62750498345841,0.3535616834573855,0.15900999999999998
1998bu,jw03707-o126_t023_nircam_clear-f150w_i2d,0.0,0.0,-72.2,1.635,0.72,8.41,0.9329,0.0895,0.4234701,0.03489208,11,3808.9006,1509.4366,1.785659,0.90622658,0.51951087,9.650904447557801,12.790278970753313,0.7545499570123441,0.07433999999999996
