SNID,Filename,Date,Photometric Calibration,Inverse Sensitivity,Zeropoint,Wavelength,Zeropoint AB
2006D,pantheon_data_folder/2006D/mastDownload/HST/idxb04glq/idxb04glq_drz.fits,2025-04-07,WFC3 IR F160W MJD#58994.6222,1.9497426e-20,-21.1,15369.176,25.93380387851061
2006D,pantheon_data_folder/2006D/mastDownload/HST/idxb09030/idxb09030_drz.fits,2025-04-11,WFC3 IR F160W MJD#59045.2514,1.9499045e-20,-21.1,15369.176,25.933713726408563
2007au,pantheon_data_folder/2007au/mastDownload/HST/if7q89010/if7q89010_drz.fits,2025-04-04,WFC3 IR F110W MJD#60565.2010,1.55542045e-20,-21.1,11534.459,26.802394340324035
2007af,pantheon_data_folder/2007af/mastDownload/HLA/hst_11570_42_wfc3_ir_f160w/hst_11570_42_wfc3_ir_f160w_drz.fits,2017-08-19,WFC3 IR F160W,1.9275602e-20,-21.1,15369.176,25.946227204106755
2007af,pantheon_data_folder/2007af/mastDownload/HLA/hst_11570_41_wfc3_ir_f160w/hst_11570_41_wfc3_ir_f160w_drz.fits,2017-08-19,WFC3 IR F160W,1.9275602e-20,-21.1,15369.176,25.946227204106755
2007af,pantheon_data_folder/2007af/mastDownload/HLA/hst_mos_1013227_wfc3_ir_f160w/hst_mos_1013227_wfc3_ir_f160w_drz.fits,2017-05-10,WFC3 IR F160W,1.92756031304868e-20,0.0,15369.17570896557,25.946227181549396
2007af,pantheon_data_folder/2007af/mastDownload/HST/ib1f42010/ib1f42010_drz.fits,2025-04-11,WFC3 IR F160W MJD#55301.3221,1.937937675e-20,-21.1,15369.176,25.940397565724
2007af,pantheon_data_folder/2007af/mastDownload/HST/ie5406060/ie5406060_drz.fits,2025-04-04,WFC3 IR F105W MJD#58987.4162,3.0879392e-20,-21.1,10551.047,26.251350360137984
2007af,pantheon_data_folder/2007af/mastDownload/HST/ib1f41mrq/ib1f41mrq_drz.fits,2025-04-07,WFC3 IR F160W MJD#55290.9560,1.9379044e-20,-21.1,15369.176,25.940416208316506
2007af,pantheon_data_folder/2007af/mastDownload/HST/ie5406010/ie5406010_drz.fits,2025-03-31,WFC3 IR F160W MJD#58987.3874,1.9497195e-20,-21.1,15369.176,25.93381674208291
2007af,pantheon_data_folder/2007af/mastDownload/HST/ib1f42t6q/ib1f42t6q_drz.fits,2025-03-31,WFC3 IR F160W MJD#55301.3950,1.9379378e-20,-21.1,15369.176,25.940397495692316
2007af,pantheon_data_folder/2007af/mastDownload/HST/ib1f41010/ib1f41010_drz.fits,2025-04-03,WFC3 IR F160W MJD#55290.9299,1.9379044e-20,-21.1,15369.176,25.940416208316506
2007af,pantheon_data_folder/2007af/mastDownload/HST/ie5406040/ie5406040_drz.fits,2025-04-11,WFC3 IR F140W MJD#58987.4032,1.4809488e-20,-21.1,13922.907,26.44700027849905
2007af,pantheon_data_folder/2007af/mastDownload/HST/ie5406070/ie5406070_drz.fits,2025-04-07,WFC3 IR F125W MJD#58987.4179,2.2696343e-20,-21.1,12486.06,26.21998319693981
2005al,pantheon_data_folder/2005al/mastDownload/HST/if7r24010/if7r24010_drz.fits,2025-04-08,WFC3 IR F110W MJD#60349.9464,1.55431954999999e-20,-21.1,11534.459,26.80316307792767
