SNID,Filename,Date,Photometric Calibration,Filter,Inverse Sensitivity,Zeropoint,Wavelength,Zeropoint AB
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/ibtm7btbq/ibtm7btbq_drz.fits,2025-03-31,WFC3 IR F125W MJD#56346.6466,F125W,2.2574126e-20,-21.1,12486.06,26.225845550348094
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/icat28040/icat28040_drz.fits,2025-04-11,WFC3 IR F105W MJD#56783.3292,F105W,3.0657346e-20,-21.1,10551.047,26.259185823488224
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/ibtm8hq0q/ibtm8hq0q_drz.fits,2025-04-07,WFC3 IR F125W MJD#56406.4094,F125W,2.2576854e-20,-21.1,12486.06,26.22571435105318
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboi5gmlq/iboi5gmlq_drz.fits,2025-03-31,WFC3 IR F125W MJD#56237.9166,F125W,2.2569161e-20,-21.1,12486.06,26.22608437568123
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/ibtm9og3q/ibtm9og3q_drz.fits,2025-03-31,WFC3 IR F125W MJD#56458.3212,F125W,2.2579224e-20,-21.1,12486.06,26.225600382129326
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboeblukq/iboeblukq_drz.fits,2025-04-22,WFC3 IR F125W MJD#56074.6393,F125W,2.2561679e-20,-21.1,12486.06,26.226444372453212
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboead020/iboead020_drz.fits,2025-03-31,WFC3 IR F160W MJD#56018.7668,F160W,1.9402308e-20,-21.1,15369.176,25.939113594106594
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboi6d020/iboi6d020_drz.fits,2025-04-03,WFC3 IR F160W MJD#56295.9015,F160W,1.9411166e-20,-21.1,15369.176,25.93861802128214
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/ibtm9kbsq/ibtm9kbsq_drz.fits,2025-04-22,WFC3 IR F125W MJD#56457.5665,F125W,2.2579191e-20,-21.1,12486.06,26.225601968956266
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboebluvq/iboebluvq_drz.fits,2025-03-31,WFC3 IR F125W MJD#56074.6619,F125W,2.2561681e-20,-21.1,12486.06,26.22644427620717
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboe1d020/iboe1d020_drz.fits,2025-03-31,WFC3 IR F160W MJD#56018.7018,F160W,1.94023054999999e-20,-21.1,15369.176,25.93911373400443
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/ibtm9ofsq/ibtm9ofsq_drz.fits,2025-04-22,WFC3 IR F125W MJD#56458.2987,F125W,2.2579224e-20,-21.1,12486.06,26.225600382129326
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboe3lcvq/iboe3lcvq_drz.fits,2025-04-03,WFC3 IR F125W MJD#56128.4059,F125W,2.2564161e-20,-21.1,12486.06,26.22632493767868
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/icat27040/icat27040_drz.fits,2025-04-03,WFC3 IR F105W MJD#56766.1909,F105W,3.06556285e-20,-21.1,10551.047,26.25924665080732
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboi5h020/iboi5h020_drz.fits,2025-04-07,WFC3 IR F160W MJD#56237.9915,F160W,1.9409315e-20,-21.1,15369.176,25.93872155929428
