u,g,r,i,z,ra,dec,flags_r
23.07306,22.62255,22.23647,21.89424,21.82011,189.102875393556,62.1028143498264,4503874782101760
20.61752,19.57551,19.1664,18.90048,18.89549,189.103376095376,62.1219799204479,6755674587430928
22.18931,22.11488,21.51922,20.75718,20.88342,189.123072909138,62.1129042775175,4503874773712896
24.15941,23.42324,22.02713,25.66764,23.13459,189.114349838789,62.1111040270047,4503874916352000
22.52411,21.54444,20.49113,20.29741,20.65366,189.113255426908,62.1260050399273,2312598683801126160
25.28249,22.52031,22.0799,21.70844,20.99749,189.108465392394,62.1307267765939,4503874773712896
25.08327,22.03004,21.23416,20.47513,20.30132,189.108118943933,62.1152670449578,4503874773712896
23.48032,22.56017,21.62418,21.37956,21.33659,189.102603170853,62.1242932872932,2310346883995828240
