u,g,r,i,z,ra,dec,flags_r
23.81016,22.44655,21.30001,20.80452,20.9806,189.286018545774,62.1808638642355,2310346883987406864
22.1706,22.27161,21.59027,21.65662,24.34072,189.298542524369,62.1783353493879,4503874782134528
21.95404,21.41921,20.53088,20.07108,19.98056,189.284550354888,62.1822169706022,6755674587566096
24.67652,22.79251,21.58833,20.68756,20.93356,189.281937460689,62.1866551183195,49539871047417856
23.72236,22.9221,22.47684,21.33792,21.51804,189.27432780249,62.1983057042482,76561468954247424
