u,g,r,i,z,ra,dec,flags_r
19.54622,18.19293,17.54124,17.19431,16.95676,189.33868046585,62.2131162393172,6755674587430928
22.68541,22.24802,20.52059,19.77016,19.45389,189.339608442279,62.2262834279803,4503874773746176
24.30131,23.96222,22.05902,21.33114,21.84161,189.327621243146,62.2226342592451,2312598683809513488
25.02986,22.88866,21.29193,20.54194,20.22593,189.331873633652,62.2269528335372,4503874782134272
