u,g,r,i,z,ra,dec,flags_r
22.35536,22.35955,21.45424,21.13105,20.69466,189.224254630521,62.1410112791528,4503874773712896
25.22216,23.23197,22.36853,22.05044,22.14276,189.239479554784,62.1438115944404,4503599929360408
22.58664,21.62393,20.62164,19.71276,19.52073,189.240726138512,62.1409175719713,6755674587398160
22.70821,22.69813,21.35175,20.85965,20.68454,189.23228440039,62.1548313575337,6755674587398168
23.88415,22.3446,21.92164,21.69198,22.72706,189.232095421952,62.1398350835448,2312598683801092112
22.21153,20.981,20.12554,19.62478,19.56352,189.226158877499,62.1292051926391,6755674587430928
23.56761,23.13684,22.30757,22.2606,21.46523,189.222133875878,62.1465072748418,4503599895805952
23.67717,22.71999,20.98695,20.4891,20.00768,189.209172026347,62.1457488630877,4503874773712896
