u,g,r,i,z,ra,dec,flags_r
22.47986,20.76402,19.75853,19.39525,19.11408,189.052049445288,62.1945670591852,4503874773745680
23.80698,22.97067,21.27115,20.85023,20.4115,189.063645354505,62.2060542971161,4503874773712896
21.52785,20.50673,19.72289,19.376,19.04828,189.066220251258,62.2103719903938,4503874773745664
24.05076,21.40873,20.54645,20.36399,19.93919,189.058845622215,62.1963521927249,4503874773712896
21.5132,20.58434,19.44254,19.01571,18.62015,189.050089593871,62.1941313099732,6755674587430928
