SNID,File_key,Galaxy_Key,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Mag,Mag_Error,Flux,Flux_Error,CXX,CXY,CYY,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2
1997bq,hst_16234_69_wfc3_ir_f160w_ieel69_drz,11,154.0811036,73.3813527,-15.81,1.98,0.583,-6.8981,0.02,574.4391,10.59771,0.45479238,1.4107271,2.7454629,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-7.4879089720835e-22,-7.1713535520259e-22,3.56250007947285e-05
1997bq,idgg3b020_drz,12,154.22425,73.400687,27.98,61.117,43.515,-15.0337,0.0001,1031533.0,72.90399,0.00032503039,-0.0002157725,0.00047080539,2025-04-11,HST,WFC3,F160W,-3.1821232491063e-05,1.60171734202421e-05,1.60171734202421e-05,3.18212324910632e-05
1997bq,hst_15145_31_wfc3_ir_f160w_idgg31_drz,13,154.2229907,73.4007164,67.11,56.892,46.911,-15.043,0.0001,1040436.0,48.24276,0.00043239951,-0.00010425166,0.00033097394,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,1.50768724752035e-21,1.77414533997759e-21,3.56250007947285e-05
1997bq,hst_16234_70_wfc3_ir_f160w_ieel70_drz,14,154.2033973,73.3989531,86.86,18.769,5.187,-9.9502,0.0116,9551.256,102.2498,0.037067264,-0.0037510963,0.0029416094,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-7.4879089720835e-22,-7.1713535520259e-22,3.56250007947285e-05
1997bq,hst_skycell-p2583x18y09_wfc3_ir_f160w_coarse-all_drz,15,154.2006842,73.3763609,-24.62,0.68,0.374,-5.3031,0.0137,132.2075,1.673717,3.0260942,3.7814715,6.2866678,2024-11-22,HST,WFC3,F160W,-3.3333333333333e-05,0.0,0.0,3.33333333333333e-05
1997bq,hst_15145_35_wfc3_ir_f160w_idgg35_drz,16,154.2230171,73.4007482,61.54,62.206,47.101,-15.0531,0.0001,1050107.0,51.35683,0.00040708185,-0.00016113991,0.00030209628,2024-11-08,HST,WFC3,F160W,-3.5625000794728e-05,-1.0650219856907e-21,-2.3213639312443003e-21,3.56250007947285e-05
2005W,hst_15145_0b_wfc3_ir_f160w_idgg0b_drz,17,27.6650786,21.7627499,-46.0,81.409,31.479,-8.8374,0.0069,3427.351,21.82495,0.00059493142,0.00085774786,0.00056510937,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,4.96532376683276e-22,-2.0436077830824e-22,3.56250007947285e-05
2005W,hst_15145_06_wfc3_ir_f160w_idgg06_drz,18,27.6741157,21.7599586,3.37,70.521,42.052,-13.4106,0.0001,231338.4,25.70033,0.00020233695,-4.2743333e-05,0.00056422403,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-1.0164114878515e-21,1.34434694533945e-21,3.56250007947285e-05
2005W,hst_15145_03_wfc3_ir_f160w_idgg03_drz,19,27.6741172,21.7599733,4.37,70.741,42.607,-13.4051,0.0001,230160.5,26.27288,0.00020186293,-5.3290223e-05,0.00054881739,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,2.40402632204038e-22,1.27312753647735e-21,3.56250007947285e-05
2005W,idgg03020_drz,20,27.6737205,21.7600109,69.21,56.137,44.75,-13.4464,0.0001,239087.8,32.11785,0.00047643459,-0.00012081318,0.00034025518,2025-04-03,HST,WFC3,F160W,-2.0434192095416e-05,-2.9181920345173e-05,-2.9181920345173e-05,2.04341920954162e-05
2005W,idgg01020_drz,21,27.6736709,21.7601296,60.18,72.74,45.621,-13.4669,0.0002,243650.6,37.04984,0.00040839429,-0.00025150541,0.00026107681,2025-03-31,HST,WFC3,F160W,-2.0433477001861e-05,-2.9182421065408e-05,-2.9182421065408e-05,2.04334770018615e-05
2005W,hst_15145_01_wfc3_ir_f160w_idgg01_drz,22,27.6738928,21.7600726,14.6,68.292,48.526,-13.3681,0.0001,222457.3,26.98297,0.00022777585,-0.00010256045,0.00041131955,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-1.5666534264933e-21,2.7111598911215797e-22,3.56250007947285e-05
2005W,idgg06020_drz,23,27.6737091,21.7599723,64.9,54.673,43.249,-13.4471,0.0002,239254.2,33.15957,0.00049860968,-0.00015374659,0.000370558,2025-04-07,HST,WFC3,F160W,-2.0434192095384e-05,-2.9181920345195e-05,-2.9181920345195e-05,2.04341920953847e-05
2005W,hst_skycell-p1770x03y10_wfc3_ir_f160w_all_drz,24,27.6755551,21.7365459,43.55,9.005,3.332,-2.7619,0.0204,12.72777,0.2393117,0.04923775,-0.077633344,0.053159807,2024-11-22,HST,WFC3,F160W,-1.1111111111111e-05,0.0,0.0,1.11111111111111e-05
2005W,idgg0b020_drz,25,27.6737077,21.7601722,67.32,75.197,44.56,-13.4658,0.0002,243407.9,37.0137,0.00045503373,-0.00023253517,0.00022544383,2025-04-11,HST,WFC3,F160W,-1.4058589068292e-05,-3.2733725040595e-05,-3.2733725040595e-05,1.40585890682929e-05
