SNID,filename,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2
1997bq,pantheon_data_folder/1997bq/mastDownload/HST/idgg37020/idgg37020_drz.fits,2025-04-03,HST,WFC3,F160W,-3.1821232492681e-05,1.60171734170277e-05,1.60171734170277e-05,3.18212324926812e-05
1997bq,pantheon_data_folder/1997bq/mastDownload/HST/idgg33020/idgg33020_drz.fits,2025-04-11,HST,WFC3,F160W,3.11591675782652e-05,1.7269827950909e-05,1.7269827950909e-05,-3.1159167578265e-05
1997bq,pantheon_data_folder/1997bq/mastDownload/HST/hst_15145_39_wfc3_ir_total_idgg39/hst_15145_39_wfc3_ir_total_idgg39_drz.fits,2024-11-09,HST,WFC3,detection,-3.5625000794728e-05,-3.82179801348e-22,4.67616534434659e-23,3.56250007947285e-05
2005W,pantheon_data_folder/2005W/mastDownload/HST/idgg0b020/idgg0b020_drz.fits,2025-04-11,HST,WFC3,F160W,-1.4058589068292e-05,-3.2733725040595e-05,-3.2733725040595e-05,1.40585890682929e-05
2005W,pantheon_data_folder/2005W/mastDownload/HST/idgg01020/idgg01020_drz.fits,2025-03-31,HST,WFC3,F160W,-2.0433477001861e-05,-2.9182421065408e-05,-2.9182421065408e-05,2.04334770018615e-05
2005W,pantheon_data_folder/2005W/mastDownload/HST/hst_15145_06_wfc3_ir_total_idgg06/hst_15145_06_wfc3_ir_total_idgg06_drz.fits,2024-11-09,HST,WFC3,detection,-3.5625000794728e-05,-1.0164114878515e-21,1.34434694533945e-21,3.56250007947285e-05
2005W,pantheon_data_folder/2005W/mastDownload/HST/hst_15145_06_wfc3_ir_f160w_idgg06/hst_15145_06_wfc3_ir_f160w_idgg06_drz.fits,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-1.0164114878515e-21,1.34434694533945e-21,3.56250007947285e-05
2005W,pantheon_data_folder/2005W/mastDownload/HST/hst_15145_0b_wfc3_ir_total_idgg0b/hst_15145_0b_wfc3_ir_total_idgg0b_drz.fits,2024-11-09,HST,WFC3,detection,-3.5625000794728e-05,4.96532376683276e-22,-2.0436077830824e-22,3.56250007947285e-05
2005W,pantheon_data_folder/2005W/mastDownload/HST/hst_15145_0b_wfc3_ir_f160w_idgg0b/hst_15145_0b_wfc3_ir_f160w_idgg0b_drz.fits,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,4.96532376683276e-22,-2.0436077830824e-22,3.56250007947285e-05
2005W,pantheon_data_folder/2005W/mastDownload/HST/hst_skycell-p1770x03y10_wfc3_ir_f160w_all/hst_skycell-p1770x03y10_wfc3_ir_f160w_all_drz.fits,2024-11-22,HST,WFC3,F160W,-1.1111111111111e-05,0.0,0.0,1.11111111111111e-05
2005W,pantheon_data_folder/2005W/mastDownload/HST/hst_15145_01_wfc3_ir_f160w_idgg01/hst_15145_01_wfc3_ir_f160w_idgg01_drz.fits,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-1.5666534264933e-21,2.71115989112158e-22,3.56250007947285e-05
2005W,pantheon_data_folder/2005W/mastDownload/HST/hst_15145_03_wfc3_ir_total_idgg03/hst_15145_03_wfc3_ir_total_idgg03_drz.fits,2024-11-09,HST,WFC3,detection,-3.5625000794728e-05,2.40402632204038e-22,1.27312753647735e-21,3.56250007947285e-05
2005W,pantheon_data_folder/2005W/mastDownload/HST/idgg03020/idgg03020_drz.fits,2025-04-03,HST,WFC3,F160W,-2.0434192095416e-05,-2.9181920345173e-05,-2.9181920345173e-05,2.04341920954162e-05
2005W,pantheon_data_folder/2005W/mastDownload/HST/hst_skycell-p1770x03y10_wfc3_ir_f160w_coarse-all/hst_skycell-p1770x03y10_wfc3_ir_f160w_coarse-all_drz.fits,2024-11-22,HST,WFC3,F160W,-3.3333333333333e-05,0.0,0.0,3.33333333333333e-05
2005W,pantheon_data_folder/2005W/mastDownload/HST/idgg06020/idgg06020_drz.fits,2025-04-07,HST,WFC3,F160W,-2.0434192095384e-05,-2.9181920345195e-05,-2.9181920345195e-05,2.04341920953847e-05
2005W,pantheon_data_folder/2005W/mastDownload/HST/hst_15145_03_wfc3_ir_f160w_idgg03/hst_15145_03_wfc3_ir_f160w_idgg03_drz.fits,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,2.40402632204038e-22,1.27312753647735e-21,3.56250007947285e-05
2005W,pantheon_data_folder/2005W/mastDownload/HST/hst_15145_01_wfc3_ir_total_idgg01/hst_15145_01_wfc3_ir_total_idgg01_drz.fits,2024-11-09,HST,WFC3,detection,-3.5625000794728e-05,-1.5666534264933e-21,2.71115989112158e-22,3.56250007947285e-05
