SNID,IAUC,host,RA,Dec,RA_host,Dec_host,zhel,zcmb,zhelerr,zHD,zHDerr,PV,vpecerr,RA_group,Dec_group,zhel_group,zcmb_group,zHD_group,PV_group,in_group,has_host,is_SNz
AT2016hnk,2016hnk,KUG 0210-078,33.319219,-7.661443,33.31579,-7.66186,0.015942,0.015098,7.00E-06,0.01499,0.00085,32,250,,,,,,,0,1,0
AT2016hns,2016hns,KUG 2137+241,324.921046,24.406491,324.92207,24.405087,0.03817,0.03704,6.00E-05,0.0374,0.00087,-105,250,,,,,,,0,1,0
AT2016htm,2016htm,2MASX J02320134-2639576,38.010893,-26.665947,38.005612,-26.665729,0.043313,0.042653,0.00015,0.04289,0.00088,-67,250,,,,,,,0,1,0
AT2016htn,2016htn,2MASX J02112819-1630409,32.871063,-16.510228,32.86752,-16.511272,0.053117,0.052289,0.00015,0.05222,0.00089,21,250,,,,,,,0,1,0
AT2017cfb,2017cfb,CGCG 073-094,208.528424,9.412759,208.536556,9.412739,0.022904,0.023816,1.40E-05,0.02266,0.00085,339,250,,,,,,,0,1,0
AT2017cfc,2017cfc,UGC 08783,208.16249,-2.002217,208.165879,-1.997546,0.024027,0.024988,0.000163,0.02512,0.00087,-39,250,,,,,,,0,1,0
AT2017cfd,2017cfd,IC 0511,130.204442,73.487541,130.210241,73.486765,0.012085,0.012218,0.000163,0.01304,0.00086,-245,250,,,,,,,0,1,0
AT2017dfq,2017dfq,NGC 3506,165.803757,11.077846,165.803954,11.076758,0.021374,0.022572,1.00E-05,0.02264,0.00085,-20,250,,,,,,,0,1,0
AT2017lm,2017lm,2MASX J03013238-1501028,45.384899,-15.015963,45.38498,-15.017257,0.030636,0.030023,6.40E-05,0.03031,0.00086,-83,250,,,,,,,0,1,0
AT2017ns,2017ns,2MASX J02491020+1436036,42.293224,14.600795,42.292366,14.600972,0.028766,0.028019,0.000397,0.02849,0.00095,-138,250,,,,,,,0,1,0
AT2017oz,2017oz,SDSS J140641.53+301906.5,211.673083,30.318828,211.673048,30.318499,0.055689,0.056413,1.00E-05,0.05614,0.00088,79,250,,,,,,,0,1,0
AT2017po,2017po,UGC 10166,240.965499,39.990077,240.967306,39.984443,0.031828,0.032009,7.00E-06,0.03255,0.00086,-156,250,,,,,,,0,1,0
AT2017wb,2017wb,2MASX J11011991+7039548,165.331246,70.664925,165.33326,70.665297,0.030653,0.030925,8.40E-05,0.03117,0.00086,-70,250,,,,,,,0,1,0
AT2017ya,2017ya,SDSS J001644.50+152030.6,4.185429,15.342069,4.185449,15.3419,0.06996,0.068706,1.80E-05,0.06915,0.00089,-125,250,,,,,,,0,1,0
AT2017yk,2017yk,2MASX J09443215-1218233,146.13246,-12.308159,146.133918,-12.30656,0.046439,0.047636,0.00015,0.04691,0.00089,207,250,,,,,,,0,1,0
AT2017zd,2017zd,2MASX J13324217-2148034,203.175618,-21.801073,203.175654,-21.800955,0.02947,0.030482,0.00015,0.02969,0.00087,231,250,,,,,,,0,1,0
ATLAS16agv,2016bfc,,250.290312,50.972448,,,0.04779,0.047774,0.00017,0.04819,0.00089,-120,250,,,,,,,0,0,0
ATLAS16ahj,2016bey,2MASX J11374023+5704420,174.417706,57.078328,174.417706,57.078328,0.073016,0.07359,1.60E-05,0.07388,0.0009,-82,250,,,,,,,0,1,0
ATLAS16bdg,2016cvn,NGC 4708,192.422299,-11.092877,192.42283,-11.09303,0.013686,0.014823,0.000123,0.01387,0.00085,282,250,,,,,,,0,1,0
ATLAS16bwu,2016enx,GALEXASC J011422.73-130915.9,18.59275,-13.15309,18.594708,-13.154417,0.071803,0.070742,5.80E-05,0.07091,0.00089,-48,250,,,,,,,0,1,0
ATLAS16cpu,2016ffh,CGCG 249-011,227.956147,46.251002,227.9516,46.25386,0.018195,0.018514,8.00E-06,0.01865,0.00085,-41,250,,,,,,,0,1,0
ATLAS16cxr,2016gou,WISEA J180806.45+252431.8,272.026873,25.408782,272.02692,25.40884,0.01552,0.015179,0.001,0.01542,0.00131,-72,250,,,,,,,0,1,0
ATLAS16dod,2016hli,MCG +08-07-008,55.910069,46.159035,55.912662,46.155599,0.016752,0.01632,0.0001,0.01594,0.00085,111,250,,,,,,,0,1,0
ATLAS16dpb,2016hgw,CGCG 415-040,44.391886,5.978214,44.390287,5.976963,0.023083,0.022381,3.30E-05,0.02215,0.00085,68,250,,,,,,,0,1,0
ATLAS16dqf,2016hpw,WISEA J210907.40-180607.8,317.282867,-18.1039,317.28084,-18.10218,0.02117,0.020194,0.00018,0.02034,0.00087,-42,250,,,,,,,0,1,0
ATLAS16dtf,2016hvl,UGC 03524,101.009015,12.396646,101.002527,12.401987,0.013082,0.013526,5.00E-06,0.0137,0.00085,-50,250,,,,,,,0,1,0
ATLAS16eej,2016jem,GALEXASC J235216.94-224520.3,358.070703,-22.755533,358.070749,-22.755802,0.049372,0.048268,0.000125,0.04771,0.00088,160,250,,,,,,,0,1,0
ATLAS17ajn,2017lv,ESO 440- G 001,176.110698,-28.457445,176.107896,-28.462111,0.028706,0.029876,3.30E-05,0.02978,0.00086,29,250,,,,,,,0,1,0
ATLAS17ajs,2017me,KUG 1125+276,171.977219,27.34584,171.98019,27.34702,0.032655,0.033704,7.00E-06,0.03451,0.00086,-233,250,,,,,,,0,1,0
ATLAS17axb,2017adj,GALEXASC J134322.97-195637.5,205.846914,-19.943651,205.845937,-19.943715,0.031652,0.032641,0.000102,0.03143,0.00087,351,250,,,,,,,0,1,0
ATLAS17bas,2017awz,SDSS J110735.45+225104.1,166.897856,22.8514,166.899002,22.852325,0.02222,0.023314,1.00E-05,0.02357,0.00085,-76,250,,,,,,,0,1,0
ATLAS17dzg,2017dae,WISEA J090834.63+483626.0,137.144828,48.607387,137.144376,48.6072,0.052169,0.052784,6.00E-06,0.0536,0.00088,-232,250,,,,,,,0,1,0
CSS151120-0,,,71.357247,-19.03254,,,0.07192,0.071833,0.0006,0.0718,0.00108,10,250,,,,,,,0,0,0
CSS160129,2016afb,,115.123359,10.933302,,,0.06766,0.068408,0.001,0.06844,0.00134,-9,250,,,,,,,0,0,0
CSS160428,2016eee,SDSS J132307.25+523858.1,200.780011,52.649075,200.780258,52.649481,0.03029,0.030809,0.00015,0.03148,0.00087,-196,250,,,,,,,0,1,0
CSS161013,2016hot,,28.331003,17.314866,,,0.079,0.077993,0.003,0.07841,0.00313,-116,250,,,,,,,0,0,1
Gaia16acv,2016bkw,SDSS J115949.80+544807.1,179.957435,54.802153,179.957521,54.801986,0.07772,0.078332,9.90E-05,0.07859,0.0009,-72,250,,,,,,,0,1,0
Gaia16agf,2016aqs,,98.537349,-25.1846,,,0.025066,0.025533,2.50E-05,0.02509,0.00086,130,250,,,,,,,0,0,0
Gaia16aki,2016dxe,SDSS J155910.36+143829.4,239.794039,14.641615,239.793233,14.641577,0.073632,0.073984,7.00E-06,0.07393,0.0009,15,250,,,,,,,0,1,0
Gaia16bba,2016fbo,GALEXASC J010135.75+170604.9,15.398037,17.101263,15.399042,17.101139,0.030458,0.029344,8.60E-05,0.0299,0.00086,-161,250,,,,,,,0,1,0
Gaia17bci,2017dit,2MASX J15275941+4250592,231.995598,42.84694,231.99773,42.84963,0.01859,0.018884,0.00015,0.01896,0.00086,-22,250,,,,,,,0,1,0
iPTF16auf,2016ccz,MRK 0685,217.788447,27.236018,217.787446,27.237292,0.015018,0.015659,5.00E-06,0.01543,0.00085,68,250,,,,,,,0,1,0
iPTF17dz,2017dz,SDSS J082425.68+245951.5,126.106898,24.997796,126.106985,24.997716,0.092,0.092836,0.01,0.09293,0.01004,-26,250,,,,,,,0,1,1
iPTF17fs,2017fs,,162.899749,69.833968,,,0.108,0.10831,0.005,0.10863,0.00509,-87,250,,,,,,,0,0,1
MASTERJ0134,2016idy,GALEXASC J013415.00-174836.1,23.562693,-17.812061,23.5619,-17.81042,0.044846,0.043906,4.00E-05,0.04369,0.00087,61,250,,,,,,,0,1,0
MASTERJ2222,,IC 5210,335.63723,-18.873374,335.629579,-18.869706,0.023943,0.022834,8.70E-05,0.02291,0.00086,-23,250,,,,,,,0,1,0
MASTEROTJ08,2017cgr,2MASX J08325728-0351295,128.237055,-3.857897,128.238739,-3.858195,0.030584,0.031565,0.00015,0.03118,0.00087,111,250,,,,,,,0,1,0
MASTEROTJ15,,2MASX J15164763+2837061,229.196787,28.628617,229.198393,28.618446,0.056436,0.056904,1.50E-05,0.05682,0.00088,25,250,,,,,,,0,1,0
PS15adh,,2MASX J13303174-0044033,202.633593,-0.734581,202.632234,-0.734145,0.102757,0.103868,2.10E-05,0.10363,0.00092,65,250,,,,,,,0,1,0
PS15ahs,,MCG +07-37-011,269.87404,43.390097,269.87396,43.39192,0.025513,0.025217,4.10E-05,0.02534,0.00086,-37,250,,,,,,,0,1,0
PS15aii,,CGCG 071-025,191.189753,9.759673,191.19001,9.75731,0.046549,0.047682,9.00E-06,0.04777,0.00087,-26,250,,,,,,,0,1,0
PS15akf,,2MASX J14171303+0721454,214.296765,7.360718,214.304503,7.362723,0.058628,0.059493,1.10E-05,0.06011,0.00088,-175,250,,,,,,,0,1,0
PS15asb,,,215.084663,-9.300908,,,0.04863,0.049516,0.00033,0.04989,0.00094,-107,250,,,,,,,0,0,0
PS15atx,,2MASX J13031865-2303572,195.82739,-23.065799,195.827881,-23.065757,0.071881,0.07301,0.000268,0.07252,0.00093,136,250,,,,,,,0,1,0
PS15bbn,,,315.989638,13.368401,,,0.0371,0.036015,0.00012,0.03624,0.00087,-64,250,,,,,,,0,0,0
PS15bdr,,2MASX J16544931+3643391,253.705907,36.725196,253.705566,36.727549,0.07096,0.070939,1.40E-05,0.07116,0.00089,-61,250,,,,,,,0,1,0
PS15bif,,,305.073991,-23.743529,,,0.07937,0.078547,0.000265,0.07845,0.00094,28,250,,,,,,,0,0,0
PS15brr,,GALEXASC J235326.18-153921.5,358.356385,-15.654507,358.359248,-15.656089,0.051804,0.050628,8.90E-05,0.05049,0.00088,40,250,,,,,,,0,1,0
PS15bsq,,MCG -02-60-012,355.467353,-8.637876,355.469247,-8.648099,0.034304,0.033087,1.70E-05,0.03371,0.00086,-179,250,,,,,,,0,1,0
PS15bst,,GALEXASC J233401.02-131743.5,353.504212,-13.295959,353.504372,-13.295608,0.088499,0.087247,0.000171,0.08739,0.00092,-38,250,,,,,,,0,1,0
PS15bwh,,,352.644135,-18.891496,,,0.072671,0.071486,0.00043,0.07158,0.00099,-27,250,,,,,,,0,0,0
PS15bzz,,2MASX J00374156+0146014,9.42473,1.762823,9.423138,1.76718,0.08024,0.079007,1.00E-05,0.07931,0.0009,-84,250,,,,,,,0,1,0
PS15cfn,,GALEXASC J215922.04-210713.3,329.841517,-21.119627,329.841525,-21.120263,0.11057,0.109424,0.00015,0.10944,0.00094,-4,250,,,,,,,0,1,0
PS15cku,,2MASX J01242239+0335168,21.09388,3.587593,21.093329,3.588014,0.023273,0.022219,7.00E-05,0.02325,0.00086,-302,250,,,,,,,0,1,0
PS15cms,,2MASX J09583540+0044336,149.646205,0.743034,149.64744,0.742781,0.06479,0.066027,2.70E-05,0.06627,0.00089,-70,250,,,,,,,0,1,0
PS15coh,,GALEXASC J021558.44+121415.2,33.993495,12.237155,33.993504,12.237269,0.018837,0.017961,7.00E-05,0.01839,0.00085,-127,250,,,,,,,0,1,0
PS15cwx,,2MFGC 04279,78.699191,7.050389,78.699604,7.04807,0.030065,0.030065,0.000109,0.03086,0.00087,-232,250,,,,,,,0,1,0
PS15cze,,2MASX J03472342+0052316,56.847625,0.87723,56.847373,0.8755,0.039371,0.038913,2.10E-05,0.04035,0.00087,-414,250,,,,,,,0,1,0
PS15dpl,2016J,,86.939096,53.609042,,,0.026422,0.026416,6.40E-05,0.0273,0.00086,-259,250,,,,,,,0,0,0
PS15mt,,SDSS J095444.27+231151.6,148.684075,23.198113,148.684439,23.197789,0.07085,0.071926,8.80E-05,0.07193,0.0009,-2,250,,,,,,,0,1,0
PS15zn,,2MASX J10495032+1752553,162.459312,17.883359,162.459536,17.882113,0.054723,0.055898,1.10E-05,0.05609,0.00088,-55,250,,,,,,,0,1,0
PS16aer,2016acs,CGCG 095-067,163.742475,14.27164,163.745204,14.271672,0.055467,0.056678,1.30E-05,0.05693,0.00088,-71,250,,,,,,,0,1,0
PS16amf,2016alt,GALEXASC J063701.16+441611.9,99.258055,44.256707,99.254547,44.270679,0.09,0.090235,0.006,0.09057,0.00607,-92,250,,,,,,,0,1,1
PS16axi,2016axb,2MASX J10480747+0010017,162.029682,0.163508,162.031168,0.167161,0.039299,0.040565,1.10E-05,0.04089,0.00087,-93,250,,,,,,,0,1,0
PS16ayd,2016axw,2MASX J14271887-0140428,216.826402,-1.675306,216.828615,-1.678418,0.053997,0.054848,1.10E-05,0.05469,0.00088,46,250,,,,,,,0,1,0
PS16bby,2016bew,2MASX J14201699-2211186,215.075159,-22.189016,215.07075,-22.188528,0.053427,0.054298,8.30E-05,0.05468,0.00088,-109,250,,,,,,,0,1,0
PS16bnz,2016bpb,UGC 05586 NED02,155.15375,-2.46675,155.14637,-2.46836,0.0627,0.063976,0.000213,0.06446,0.00091,-135,250,,,,,,,0,1,0
PS16ccn,2016dxv,,273.12228,31.279886,,,0.02431,0.023947,0.00016,0.02457,0.00087,-183,250,,,,,,,0,0,0
PS16cqa,2016cqt,2MFGC 12594,234.779179,9.294622,234.77881,9.29616,0.043857,0.044326,1.30E-05,0.04521,0.00087,-253,250,,,,,,,0,1,0
PS16cvc,2016cxb,GALEXASC J211223.05+144644.9,318.097268,14.779329,318.095803,14.778781,0.02954,0.028443,9.00E-05,0.02915,0.00086,-206,250,,,,,,,0,1,0
PS16dnp,2016eky,2MASX J22593744+0209095,344.914598,2.149809,344.915105,2.149748,0.051273,0.049983,3.10E-05,0.05023,0.00088,-71,250,,,,,,,0,1,0
PS16drf,2016etf,2MASX J22040319-1013059,331.013022,-10.218201,331.01329,-10.21831,0.05749,0.056299,0.000103,0.05587,0.00089,121,250,,,,,,,0,1,0
PS16ejh,2016gkt,ESO 472- G 013,359.859085,-24.424069,359.86075,-24.42511,0.050718,0.049638,0.00015,0.04906,0.00089,166,250,,,,,,,0,1,0
PS16el,2016ah,2MASX J10511252+1921474,162.802241,19.362543,162.802182,19.363396,0.047806,0.04896,1.00E-05,0.0494,0.00088,-126,250,,,,,,,0,1,0
PS16em,2016ei,LCRS B105301.1-030602,163.891643,-3.366272,163.890982,-3.367476,0.069815,0.07113,0.000173,0.07083,0.00091,85,250,,,,,,,0,1,0
PS16eqv,2016hjk,2MASX J02314347-2500088,37.93083,-25.00162,37.931039,-25.002463,0.085271,0.084568,0.00015,0.08458,0.00092,-4,250,,,,,,,0,1,0
PS16evk,2016hqf,2MASX J22332338-0121266,338.344432,-1.357034,338.347274,-1.357454,0.054468,0.0532,1.40E-05,0.05262,0.00088,165,250,,,,,,,0,1,0
PS16ez,2016ai,SDSS J092426.62+051018.1,141.110225,5.170777,141.11093,5.171727,0.091729,0.092904,8.00E-06,0.09278,0.00091,34,250,,,,,,,0,1,0
PS16fa,2016H,CGCG 036-091,154.819282,4.761707,154.823301,4.763066,0.04611,0.047342,1.00E-05,0.0476,0.00087,-74,250,,,,,,,0,1,0
PS16fbb,2016ick,GALEXASC J000703.01-204149.5,1.763091,-20.696811,1.761995,-20.697234,0.0525,0.051386,0.0001,0.05106,0.00088,92,250,,,,,,,0,1,0
PS16n,2016E,2MASX J05034387+0324429,75.933268,3.41251,75.932623,3.411851,0.052728,0.052676,2.20E-05,0.05309,0.00088,-119,250,,,,,,,0,1,0
PS17akj,2017aaa,LCRS B134713.8-024957,207.454779,-3.08002,207.454459,-3.080145,0.046808,0.047802,6.00E-06,0.04777,0.00087,9,250,,,,,,,0,1,0
PS17bii,2017azk,2MASX J11253836+0720042,171.409394,7.333603,171.409888,7.334449,0.073391,0.074672,1.70E-05,0.07446,0.0009,58,250,,,,,,,0,1,0
PS17cjo,2017ddy,LEDA 882525,193.816162,-17.482014,193.817289,-17.481941,0.056,0.057157,0.001,0.0578,0.00133,-184,250,,,,,,,0,1,1
PS17ckg,2017deu,SDSS J131621.64+274137.2,199.089953,27.693188,199.09018,27.69367,0.05,0.0509,0.001,0.05092,0.00133,-6,250,,,,,,,0,1,1
PS17tn,2017pj,LEDA 2179170,145.806809,41.317324,145.80508,41.31628,0.044704,0.045492,1.10E-05,0.0459,0.00087,-117,250,,,,,,,0,1,0
PS17yt,,2MASX J10035883+4902195,150.991466,49.041248,150.995281,49.038706,0.069763,0.070464,2.10E-05,0.07073,0.00089,-73,250,,,,,,,0,1,0
PSNJ0107203,2015ar,NGC 0383,16.834613,32.399736,16.853995,32.412559,0.017005,0.016005,3.90E-05,0.01682,0.00085,-240,250,,,,,,,0,1,0
PSNJ0153424,,UGC 01359,28.426723,29.936284,28.425992,29.933299,0.025647,0.024744,7.00E-06,0.02556,0.00086,-238,250,,,,,,,0,1,0
PSNJ0252467,,UGC 02351,43.194611,46.946437,43.18515,46.938107,0.028086,0.027485,2.80E-05,0.02816,0.00086,-198,250,,,,,,,0,1,0
PSNJ0309425,2015az,IC 0290,47.427261,40.974874,47.428025,40.974156,0.020117,0.01954,9.70E-05,0.02117,0.00086,-478,250,,,,,,,0,1,0
PSNJ0717457,2015I,NGC 2357,109.440333,23.344594,109.420754,23.356744,0.007589,0.008123,7.00E-06,0.00861,0.00084,-144,250,,,,,,,0,1,0
PSNJ0859349,,UGC 4709,134.895428,45.925856,134.893969,45.926744,0.02812,0.028744,1.40E-05,0.02938,0.00086,-186,250,,,,,,,0,1,0
PSNJ1204051,,CGCG 069-037,181.021298,14.068113,181.022551,14.065552,0.043851,0.04502,1.40E-05,0.04545,0.00087,-123,250,,,,,,,0,1,0
PSNJ1300323,2015M,COMAi J130032.301+275841.02,195.134651,27.978087,195.13464,27.97815,0.023156,0.024067,0.000167,0.02414,0.00087,-22,250,,,,,,,0,1,0
PSNJ1602512,,UGC 10156,240.713584,47.224775,240.708293,47.224515,0.020254,0.020391,0.000127,0.02052,0.00086,-37,250,,,,,,,0,1,0
PSNJ1628383,,NGC 6166,247.159664,39.548911,247.161692,39.551826,0.029831,0.029912,0.001555,0.02893,0.00177,287,250,,,,,,,0,1,0
PSNJ2043531,,NGC 6956,310.971623,12.508491,310.97379,12.51192,0.015497,0.014493,1.70E-05,0.01492,0.00085,-127,250,,,,,,,0,1,0
PSNJ2310226,,NGC 7499,347.594206,7.588988,347.593185,7.580788,0.03915,0.037869,9.30E-05,0.03802,0.00087,-43,250,,,,,,,0,1,0
PSNJ2352371,,UGC 12822,358.15476,14.552489,358.1517,14.551439,0.026482,0.025248,8.00E-06,0.02596,0.00086,-208,250,,,,,,,0,1,0
PTSS-16efw,2016cck,2MASX J17353788+0848387,263.907499,8.809032,263.907803,8.810755,0.035573,0.035416,2.30E-05,0.03568,0.00086,-76,250,,,,,,,0,1,0
PTSS17-niq,2017ckd,2MASX J14201616+1520386,215.069408,15.341661,215.067375,15.344239,0.06828,0.069094,1.40E-05,0.06897,0.00089,35,250,,,,,,,0,1,0
SN2016ajf,2016ajf,NGC 1278,49.977127,41.565021,49.975526,41.563465,0.020314,0.019776,2.80E-05,0.02134,0.00085,-461,250,,,,,,,0,1,0
SN2016aqa,2016aqa,LCRS B112120.0-051639,170.969742,-5.551805,170.969776,-5.551808,0.054589,0.055888,0.000297,0.05621,0.00093,-91,250,,,,,,,0,1,0
SN2016aqb,2016aqb,2MASXi J1121579-135849,170.49333,-13.98367,170.491346,-13.980331,0.062894,0.064195,4.00E-05,0.06384,0.00089,101,250,,,,,,,0,1,0
SN2016aqt,2016aqt,SDSS J134550.90+264747.4,206.461355,26.796317,206.462171,26.796604,0.050412,0.051238,9.00E-06,0.05105,0.00088,53,250,,,,,,,0,1,0
SN2016ayg,2016ayg,SDSS J073017.25+250153.5,112.572436,25.032055,112.571929,25.031539,0.04269,0.043283,0.00012,0.04349,0.00088,-61,250,,,,,,,0,1,0
SN2016blh,2016blh,CGCG 018-062,212.41863,-0.656831,212.418114,-0.655726,0.0238,0.024695,0.000213,0.02381,0.00088,258,250,,,,,,,0,1,0
SN2016blm,2016blm,,237.161406,-3.317634,,,0.030642,0.031095,3.50E-05,0.03105,0.00086,14,250,,,,,,,0,0,0
