SNID,IAUC,host,RA,Dec,RA_host,Dec_host,zhel,zcmb,zhelerr,zHD,zHDerr,PV,vpecerr,RA_group,Dec_group,zhel_group,zcmb_group,zHD_group,PV_group,in_group,has_host,is_SNz
2001ah,2001ah,UGC 06211,167.62425,55.16083,167.62646,55.16983,0.057763,0.058373,1.50E-05,0.05886,0.00088,-138,250,,,,,,,0,1,0
2001az,2001az,UGC 10483,248.61546,76.02967,248.62017,76.02972,0.040695,0.040593,9.00E-05,0.04101,0.00087,-121,250,,,,,,,0,1,0
2001da,2001da,NGC 7780,358.38658,8.11739,358.38404,8.11814,0.017381,0.016148,7.00E-06,0.01659,0.00085,-129,250,358.40451,7.930666,0.017816,0.016583,0.01702,-176,1,1,0
2001en,2001en,NGC 0523,21.34542,34.02514,21.33637,34.02494,0.015881,0.014937,7.00E-06,0.01509,0.00085,-46,250,21.041921,33.581505,0.016294,0.015343,0.0155,-46,1,1,0
2001fe,2001fe,UGC 05129,144.48792,25.49481,144.49167,25.49478,0.013514,0.014478,8.00E-06,0.01467,0.00085,-57,250,,,,,,,0,1,0
2001gb,2001gb,IC 0582,149.754,17.82011,149.75096,17.81714,0.025439,0.026529,1.10E-05,0.0265,0.00086,9,250,,,,,,,0,1,0
2001G,2001G,MCG +08-17-043,137.38825,50.28092,137.38721,50.28186,0.016703,0.017272,1.10E-05,0.0177,0.00085,-127,250,,,,,,,0,1,0
2001ic,2001ic,NGC 7503,347.68058,7.56956,347.67617,7.56769,0.044089,0.042802,9.00E-06,0.0439,0.00087,-317,250,,,,,,,0,1,0
2001V,2001V,NGC 3987,179.35388,25.2025,179.33717,25.19539,0.015007,0.016045,0.000904,0.0157,0.00124,102,250,179.51456,25.171888,0.014883,0.01592,0.01557,102,1,1,0
2002bf,2002bf,CGCG 266-031,153.92629,55.66853,153.92604,55.66747,0.024376,0.024936,7.00E-06,0.02525,0.00085,-92,250,,,,,,,0,1,0
2002bz,2002bz,CGCG 163-041,216.16883,26.62631,216.16888,26.62517,0.037128,0.037813,9.00E-06,0.03827,0.00087,-131,250,,,,,,,0,1,0
2002ck,2002ck,UGC 10030,236.75312,-0.99042,236.75175,-0.98514,0.029742,0.030198,1.10E-05,0.02987,0.00086,95,250,,,,,,,0,1,0
2002cr,2002cr,NGC 5468,211.65662,-5.43942,211.64537,-5.45311,0.009417,0.010319,0.000193,0.01015,0.00086,51,250,210.948768,-5.97368,0.009062,0.009975,0.0098,130,1,1,0
2002de,2002de,NGC 6104,244.12658,35.70839,244.12787,35.70806,0.027894,0.028046,1.30E-05,0.02651,0.00086,448,250,244.293621,35.027778,0.030344,0.030497,0.02896,290,1,1,0
2002dj,2002dj,NGC 5018,198.25142,-19.519,198.25429,-19.51819,0.00937,0.010426,0.000233,0.00948,0.00087,281,250,198.217887,-19.510463,0.009456,0.010512,0.00957,281,1,1,0
2002dp,2002dp,NGC 7678,352.12667,22.42889,352.11625,22.42119,0.01169,0.010491,7.00E-06,0.01061,0.00084,-34,250,,,,,,,0,1,0
2002eu,2002eu,2MASX J01494273+3237303,27.43167,32.62861,27.428,32.62517,0.037626,0.036718,0.000334,0.0379,0.00093,-343,250,,,,,,,0,1,0
2002fk,2002fk,NGC 1309,50.52379,-15.40089,50.52733,-15.40006,0.007185,0.00668,0.00015,0.00719,0.00085,-153,250,,,,,,,0,1,0
2002G,2002G,CGCG 189-024,196.98025,34.08514,196.97837,34.08711,0.03365,0.034479,1.00E-05,0.03484,0.00086,-106,250,197.680106,34.276378,0.035491,0.036313,0.03668,-203,1,1,0
2002ha,2002ha,NGC 6962,311.82742,0.31267,311.82942,0.32081,0.01407,0.013065,9.70E-05,0.01346,0.00085,-116,250,311.825148,0.325254,0.013208,0.012204,0.01259,-113,1,1,0
2002he,2002he,UGC 04322,124.99512,62.82033,125.00725,62.83058,0.024564,0.024847,8.00E-05,0.02535,0.00086,-146,250,125.122824,62.769696,0.024407,0.024692,0.02519,-146,1,1,0
2002kf,2002kf,CGCG 233-023,99.31379,49.85283,99.31967,49.84989,0.0193,0.019478,9.00E-05,0.02001,0.00086,-157,250,,,,,,,0,1,0
2003ae,2003ae,2MASX J09282257+2726402,142.09408,27.44464,142.09412,27.44467,0.03275,0.03369,8.00E-06,0.03444,0.00086,-217,250,,,,,,,0,1,0
2003ch,2003ch,UGC 03787,109.49133,9.69303,109.48983,9.68933,0.02862,0.029246,0.00012,0.02981,0.00087,-164,250,109.251016,9.773012,0.028327,0.028948,0.02951,-71,1,1,0
2003cq,2003cq,NGC 3978,179.05904,60.52197,179.043,60.52253,0.033194,0.03367,1.80E-05,0.03422,0.00086,-159,250,179.063992,60.493784,0.032754,0.03323,0.03378,-159,1,1,0
2003du,2003du,UGC 09391,218.64917,59.33439,218.65425,59.33781,0.006377,0.006644,1.60E-05,0.00747,0.00084,-245,250,,,,,,,0,1,0
2003fa,2003fa,ARK 527,266.03217,40.881,266.03583,40.86731,0.040388,0.040148,0.000117,0.04056,0.00088,-120,250,,,,,,,0,1,0
2003hu,2003hu,2MASX J19113272+7753382,287.88083,77.89311,287.88662,77.89397,0.075,0.074704,9.00E-05,0.07523,0.0009,-147,250,,,,,,,0,1,0
2001ay,2001ay,IC 4423,216.57083,26.24883,216.57392,26.24614,0.030254,0.030932,9.00E-06,0.03085,0.00086,25,250,,,,,,,0,1,0
2001bf,2001bf,CGCG 141-044,270.39162,26.25064,270.39004,26.25283,0.015607,0.015297,0.00013,0.01554,0.00086,-72,250,270.350825,26.239948,0.015869,0.01556,0.0158,-72,1,1,0
2001C,2001C,CGCG 285-012,104.90042,59.51711,104.8925,59.51858,0.010941,0.011096,0.000117,0.01136,0.00085,-78,250,,,,,,,0,1,0
2001cp,2001cp,UGC 10738,257.76104,5.84106,257.77437,5.85225,0.022416,0.022401,2.10E-05,0.02193,0.00085,137,250,257.785158,5.73743,0.02246,0.022446,0.02198,137,1,1,0
2001eh,2001eh,UGC 01162,24.55042,41.65522,24.56442,41.65397,0.037129,0.036266,0.000157,0.03725,0.00088,-283,250,,,,,,,0,1,0
2001ep,2001ep,NGC 1699,74.25108,-4.76117,74.24846,-4.75686,0.013129,0.013065,0.00015,0.01284,0.00086,66,250,74.128106,-4.747036,0.013122,0.013055,0.01283,66,1,1,0
2001fh,2001fh,WISEA J212042.46+442359.3,320.17708,44.39811,320.177,44.39975,0.013303,0.012412,4.80E-05,0.01288,0.00085,-139,250,,,,,,,0,1,0
2001gc,2001gc,UGC 03375,88.85892,51.9095,88.85546,51.91061,0.019323,0.01935,1.40E-05,0.02008,0.00085,-214,250,,,,,,,0,1,0
2001ie,2001ie,UGC 05542,154.21125,60.27903,154.22108,60.28489,0.030614,0.031088,1.00E-05,0.03161,0.00086,-151,250,,,,,,,0,1,0
2001N,2001N,NGC 3327,159.992,24.09056,159.99142,24.09125,0.021028,0.022097,7.00E-06,0.02192,0.00085,51,250,,,,,,,0,1,0
2002ar,2002ar,NGC 3746,174.433,22.00956,174.43175,22.00983,0.030077,0.031181,9.00E-06,0.03189,0.00086,-207,250,,,,,,,0,1,0
2002bo,2002bo,NGC 3189,154.52712,21.82825,154.52346,21.83231,0.00437,0.005426,1.30E-05,0.00613,0.00084,-210,250,,,,,,,0,1,0
2002cd,2002cd,NGC 6916,305.89342,58.3465,305.88783,58.34406,0.010337,0.009725,7.00E-06,0.01065,0.00084,-275,250,,,,,,,0,1,0
2002do,2002do,MCG +07-41-001,299.05367,40.43633,299.05358,40.43397,0.01498,0.014258,4.60E-05,0.01487,0.00085,-182,250,,,,,,,0,1,0
2002es,2002es,UGC 02708,50.94679,40.56486,50.95358,40.55783,0.017784,0.017257,7.00E-06,0.0177,0.00085,-130,250,,,,,,,0,1,0
2002hw,2002hw,UGC 00052,1.70442,8.63014,1.70617,8.6285,0.017525,0.016307,7.00E-06,0.01679,0.00085,-141,250,,,,,,,0,1,0
2002jy,2002jy,NGC 0477,20.31779,40.49869,20.33488,40.48819,0.019527,0.018628,3.30E-05,0.02017,0.00085,-453,250,20.314499,40.477568,0.019602,0.018702,0.02024,-453,1,1,0
2003ai,2003ai,IC 4062,195.2445,39.85681,195.24433,39.85894,0.036188,0.036953,1.00E-05,0.03781,0.00087,-249,250,,,,,,,0,1,0
2003cg,2003cg,NGC 3169,153.56654,3.46736,153.56271,3.46608,0.004046,0.005227,4.10E-05,0.00503,0.00084,60,250,,,,,,,0,1,0
2003D,2003D,ARP 321 NED01,144.723,-4.85142,144.72312,-4.84928,0.022182,0.023343,0.000334,0.02375,0.00092,-118,250,,,,,,,0,1,0
2003K,2003K,IC 1129,233.00796,68.24331,233.00342,68.24633,0.021845,0.021897,1.20E-05,0.02208,0.00085,-54,250,,,,,,,0,1,0
2003kf,2003kf,MCG -02-16-002,91.14758,-12.62856,91.14546,-12.62486,0.007405,0.007716,1.90E-05,0.00797,0.00084,-75,250,90.901031,-12.558994,0.007388,0.007694,0.00795,-75,1,1,0
2004ap,2004ap,CGCG 064-054,151.43254,10.27142,151.43546,10.27678,0.02403,0.025187,8.00E-06,0.02518,0.00085,1,250,,,,,,,0,1,0
2004fu,2004fu,NGC 6949,308.79808,64.80714,308.77883,64.80281,0.009216,0.00867,1.90E-05,0.00965,0.00084,-292,250,,,,,,,0,1,0
2004K,2004K,ESO 579- G 022,215.91604,-19.44722,215.9205,-19.44394,0.036132,0.036983,3.00E-05,0.03671,0.00087,79,250,,,,,,,0,1,0
2005dv,2005dv,NGC 5283,205.26854,67.67231,205.274,67.67231,0.010145,0.010378,4.90E-05,0.0115,0.00084,-332,250,,,,,,,0,1,0
2005ew,2005ew,NSF J033923.74+350249.0,54.84892,35.04694,54.84892,35.04694,0.00906,0.008578,7.00E-05,0.0084,0.00084,52,250,,,,,,,0,1,0
2005ke,2005ke,NGC 1371,53.76812,-24.94411,53.75558,-24.93322,0.00488,0.004489,7.00E-06,0.00472,0.00084,-68,250,,,,,,,0,1,0
2005ls,2005ls,CGCG 539-121,43.56654,42.72494,43.56896,42.72592,0.021205,0.020584,0.00022,0.02218,0.00088,-468,250,,,,,,,0,1,0
2006ah,2006ah,GALEXASC J134613.71-090751.0,206.55712,-9.13072,206.55712,-9.13072,0.05305,0.054068,8.00E-05,0.05419,0.00088,-34,250,,,,,,,0,1,0
2006al,2006al,WISEA J103928.52+051101.2,159.86775,5.18342,159.86888,5.18367,0.067802,0.069078,2.00E-05,0.06886,0.00089,60,250,,,,,,,0,1,0
2006an,2006an,SDSS J121438.73+121347.7,183.66117,12.22969,183.66142,12.22992,0.064,0.065192,9.00E-05,0.06486,0.00089,94,250,,,,,,,0,1,0
2006B,2006B,UGC 12538,350.29075,33.40033,350.29083,33.39956,0.016358,0.015237,7.00E-06,0.01534,0.00085,-31,250,,,,,,,0,1,0
2006bd,2006bd,UGC 06609,174.61858,20.52622,174.62275,20.52772,0.025511,0.026625,0.00011,0.02746,0.00086,-242,250,,,,,,,0,1,0
2006bk,2006bk,CGCG 193-015,226.14004,35.96419,226.13629,35.96503,0.049369,0.049823,1.30E-05,0.05006,0.00088,-68,250,,,,,,,0,1,0
2006br,2006br,NGC 5185,202.5075,13.41578,202.50937,13.41606,0.024679,0.025647,1.80E-05,0.02649,0.00086,-246,250,,,,,,,0,1,0
2006bu,2006bu,WISEA J135247.09+051849.1,208.19921,5.31372,208.196,5.31383,0.084,0.084992,0.006,0.08478,0.00607,59,250,,,,,,,0,1,1
2006bz,2006bz,IC 4042A,195.18075,27.96161,195.1785,27.96311,0.028115,0.02903,0.000157,0.0305,0.00087,-429,250,,,,,,,0,1,0
2006cc,2006cc,UGC 10244,242.48529,43.12664,242.48092,43.12919,0.032956,0.033094,0.000172,0.03408,0.00088,-287,250,,,,,,,0,1,0
2006cg,2006cg,2MASX J13050256+2844204,196.25967,28.74,196.26058,28.739,0.027907,0.028804,1.20E-05,0.03022,0.00086,-411,250,,,,,,,0,1,0
2006cj,2006cj,WISEA J125924.11+282049.8,194.85175,28.34769,194.85054,28.34717,0.067708,0.068657,5.00E-06,0.06865,0.00089,2,250,,,,,,,0,1,0
2006cm,2006cm,UGC 11723,320.07275,-1.68408,320.07283,-1.68433,0.016331,0.015235,1.20E-05,0.01574,0.00085,-149,250,,,,,,,0,1,0
2006cs,2006cs,CGCG 190-050,206.39121,35.61017,206.39579,35.61114,0.023742,0.024449,9.00E-06,0.024,0.00085,132,250,,,,,,,0,1,0
2006em,2006em,NGC 0911,36.43458,41.94217,36.42667,41.95628,0.019227,0.018511,0.000147,0.01991,0.00086,-411,250,,,,,,,0,1,0
2006H,2006H,WISEA J032600.89+404139.2,51.50621,40.69514,51.50446,40.69458,0.01445,0.013933,5.00E-05,0.01271,0.00085,363,250,,,,,,,0,1,0
2006ha,2006ha,IC 1461,344.64292,15.17383,344.64292,15.17278,0.030843,0.029587,9.00E-06,0.02981,0.00086,-66,250,,,,,,,0,1,0
2006hn,2006hn,UGC 06154,166.82779,76.69717,166.82737,76.69494,0.017349,0.017487,3.70E-05,0.01833,0.00085,-247,250,,,,,,,0,1,0
2006je,2006je,IC 1735,27.722,33.09811,27.71558,33.09233,0.037903,0.037002,9.00E-06,0.03819,0.00087,-343,250,,,,,,,0,1,0
2006ke,2006ke,UGC 03365,88.15575,66.81681,88.14783,66.81986,0.017179,0.017127,1.70E-05,0.01828,0.00085,-338,250,,,,,,,0,1,0
2006le,2006le,UGC 03218,75.17496,62.25528,75.18212,62.24403,0.017439,0.017277,4.00E-05,0.01854,0.00085,-371,250,,,,,,,0,1,0
2006lf,2006lf,UGC 03108,69.62287,44.03375,69.61804,44.03711,0.013189,0.012956,1.70E-05,0.0125,0.00084,134,250,,,,,,,0,1,0
2006mq,2006mq,ESO 494- G 026,121.55162,-27.56261,121.54621,-27.52842,0.003199,0.004022,7.00E-06,0.00352,0.00084,150,250,,,,,,,0,1,0
2006or,2006or,NGC 3891,177.01446,30.35667,177.014,30.35933,0.02098,0.021968,7.00E-06,0.02129,0.00085,198,250,,,,,,,0,1,0
2006os,2006os,UGC 02384,43.75421,16.00967,43.75237,16.01242,0.032843,0.03212,0.000187,0.03294,0.00088,-239,250,,,,,,,0,1,0
2006X,2006X,MESSIER 100,185.72496,15.80919,185.72846,15.82181,0.00525,0.006336,5.00E-06,0.00664,0.00084,-91,250,,,,,,,0,1,0
2007au,2007au,UGC 03725,107.94212,49.85372,107.92425,49.86667,0.020158,0.020445,4.40E-05,0.02153,0.00085,-318,250,107.314332,50.381039,0.019648,0.019922,0.021,48,1,1,0
2007ax,2007ax,NGC 2577,125.68025,22.55469,125.68104,22.55308,0.006683,0.00747,4.20E-05,0.00804,0.00084,-171,250,,,,,,,0,1,0
2007bm,2007bm,NGC 3672,171.25958,-9.79828,171.26029,-9.79539,0.006218,0.007456,6.30E-05,0.00727,0.00084,55,250,,,,,,,0,1,0
2007bz,2007bz,IC 3918,194.22404,22.37281,194.22308,22.37361,0.022194,0.023173,7.00E-06,0.02212,0.00085,307,250,,,,,,,0,1,0
2007cg,2007cg,ESO 508- G 075,201.38992,-24.65225,201.38904,-24.65239,0.0332,0.034223,0.00015,0.03299,0.00087,357,250,,,,,,,0,1,0
2007cp,2007cp,IC 0807,190.553,-17.40214,190.55204,-17.40356,0.036469,0.037633,0.00015,0.03687,0.00088,222,250,,,,,,,0,1,0
2007H,2007H,2MASX J08350222-0820130,128.75825,-8.33758,128.75921,-8.33692,0.0426,0.043604,0.0002,0.04366,0.00089,-18,250,,,,,,,0,1,0
2007N,2007N,MCG -01-33-012,192.25521,-9.45283,192.25633,-9.45703,0.012879,0.014018,4.00E-05,0.01306,0.00085,282,250,,,,,,,0,1,0
2007S,2007S,UGC 05378,150.13025,4.40728,150.13329,4.40706,0.013856,0.015024,1.70E-05,0.01509,0.00085,-18,250,,,,,,,0,1,0
2004ef,2004ef,UGC 12158,340.54175,19.99456,340.54379,19.99697,0.031011,0.029782,2.10E-05,0.03012,0.00086,-100,250,,,,,,,0,1,0
2005be,2005be,WISEA J145933.08+164006.8,224.88633,16.66989,224.88783,16.66858,0.033557,0.034172,1.10E-05,0.03416,0.00086,2,250,,,,,,,0,1,0
2005eq,2005eq,MCG -01-09-006,47.20546,-7.03325,47.20133,-7.04061,0.028952,0.028334,4.50E-05,0.02826,0.00086,23,250,47.273368,-7.123426,0.028925,0.028309,0.02823,23,1,1,0
2005iq,2005iq,ESO 538- G 013,359.63542,-18.70917,359.63262,-18.71403,0.034043,0.03292,0.000123,0.03341,0.00087,-142,250,,,,,,,0,1,0
2005M,2005M,NGC 2930,144.38483,23.20075,144.38583,23.2025,0.02484,0.025838,5.00E-05,0.02598,0.00086,-42,250,,,,,,,0,1,0
2006is,2006is,WISEA J051734.55-234659.7,79.39321,-23.78172,79.39404,-23.78356,0.0314,0.031494,9.00E-05,0.03071,0.00086,228,250,,,,,,,0,1,0
2009dc,2009dc,UGC 10064,237.8005,25.70778,237.80533,25.70192,0.021468,0.021787,7.00E-06,0.02137,0.00085,123,250,,,,,,,0,1,0
2008fv,2008fv,NGC 3147,154.23867,73.41011,154.22354,73.40075,0.00938,0.009578,1.90E-05,0.01044,0.00084,-256,250,154.46891,73.558589,0.009737,0.009932,0.01079,-256,1,1,0
1997bq,1997bq,NGC 3147,154.27221,73.38392,154.22354,73.40075,0.00938,0.009578,1.90E-05,0.01044,0.00084,-256,250,154.46891,73.558589,0.009736,0.009931,0.01079,-256,1,1,0
2010ai,2010ai,WISEA J125925.01+275948.2,194.85012,27.99642,194.85437,27.99675,0.018267,0.019176,1.50E-05,0.01826,0.00085,271,250,,,,,,,0,1,0
2002fb,2002fb,NGC 0759,29.45375,36.34064,29.45971,36.34311,0.01529,0.014452,5.00E-05,0.01391,0.00085,161,250,,,,,,,0,1,0
2002hd,2002hd,MCG -01-23-008,133.51412,-7.18931,133.5195,-7.18319,0.030488,0.031542,0.00015,0.03134,0.00087,58,250,,,,,,,0,1,0
2002hu,2002hu,MCG +06-06-012,34.58358,37.46633,34.57646,37.46433,0.0367,0.035915,0.001,0.03705,0.00132,-327,250,,,,,,,0,1,0
2003ic,2003ic,MCG -02-02-086,10.45929,-9.30528,10.46029,-9.30314,0.055359,0.054208,1.60E-05,0.0541,0.00088,32,250,10.552016,-9.457452,0.053105,0.051959,0.05185,199,1,1,0
2003it,2003it,UGC 00040,1.45196,27.45267,1.45171,27.44942,0.025057,0.023904,9.00E-06,0.02488,0.00085,-285,250,1.241051,27.386883,0.025282,0.024128,0.0251,-285,1,1,0
2003iv,2003iv,UGC 02320 NOTES01,42.53021,12.84625,42.53683,12.84361,0.03426,0.033513,0.00016,0.03491,0.00088,-406,250,,,,,,,0,1,0
2003kc,2003kc,CGCG 152-068,146.643,30.65528,146.64479,30.65308,0.033162,0.034098,1.30E-05,0.03479,0.00086,-201,250,,,,,,,0,1,0
2004as,2004as,SDSS J112538.81+224952.2,171.41325,22.83039,171.41175,22.83117,0.031394,0.032496,1.50E-05,0.03296,0.00086,-136,250,,,,,,,0,1,0
2003U,2003U,NGC 6365A,260.69025,62.164,260.68254,62.16608,0.028223,0.028057,5.00E-06,0.02895,0.00086,-259,250,261.099891,62.159221,0.028106,0.027936,0.02883,-114,1,1,0
2003W,2003W,UGC 05234,146.70617,16.04378,146.70633,16.04286,0.020067,0.021145,2.00E-06,0.0211,0.00085,15,250,146.802108,15.970453,0.019789,0.020868,0.02082,15,1,1,0
2004bg,2004bg,UGC 06363,170.25637,21.33983,170.25196,21.33781,0.021035,0.022143,3.00E-05,0.02234,0.00085,-57,250,,,,,,,0,1,0
2004L,2004L,CGCG 094-058,156.76712,16.01869,156.76646,16.01794,0.032293,0.033443,1.00E-05,0.03373,0.00086,-83,250,,,,,,,0,1,0
2005el,2005el,NGC 1819,77.953,5.19428,77.94225,5.20061,0.01483,0.014819,0.000123,0.01498,0.00086,-46,250,77.960156,5.250687,0.01484,0.014829,0.01499,-46,1,1,0
2005am,2005am,NGC 2811,139.05196,-16.30444,139.04629,-16.31272,0.007899,0.00898,9.70E-05,0.00897,0.00085,3,250,139.251889,-16.356147,0.007332,0.008414,0.00841,-64,1,1,0
2005kc,2005kc,NGC 7311,338.53058,5.56842,338.52796,5.56989,0.01509,0.013855,2.00E-06,0.01442,0.00085,-167,250,,,,,,,0,1,0
2005cf,2005cf,MCG -01-39-003,230.38421,-7.41319,230.38871,-7.44789,0.00643,0.007013,6.00E-05,0.00708,0.00084,-21,250,230.386829,-7.404173,0.006446,0.007029,0.0071,-21,1,1,0
2005lz,2005lz,UGC 01666,32.70733,34.98283,32.7025,34.98461,0.044341,0.043509,0.00014,0.04463,0.00088,-322,250,32.709352,35.064599,0.046242,0.045409,0.04653,-292,1,1,0
2005eu,2005eu,WISEA J022743.32+281037.7,36.93025,28.17683,36.9305,28.17711,0.03449,0.033686,0.005,0.03516,0.00508,-428,250,,,,,,,0,1,0
2005mz,2005mz,NGC 1275,49.95783,41.50517,49.95067,41.51169,0.017559,0.017022,3.70E-05,0.01593,0.00085,322,250,,,,,,,0,1,0
2005hf,2005hf,WISEA J012706.15+190658.8,21.77488,19.11681,21.7755,19.11639,0.04311,0.042058,0.00019,0.04303,0.00089,-280,250,,,,,,,0,1,0
2005ki,2005ki,NGC 3332,160.11758,9.20233,160.11821,9.18256,0.019458,0.020655,8.00E-06,0.02035,0.00085,88,250,,,,,,,0,1,0
2005ms,2005ms,UGC 04614,132.30975,36.12997,132.31829,36.11981,0.025215,0.02595,1.10E-05,0.02669,0.00086,-217,250,,,,,,,0,1,0
2005mc,2005mc,UGC 04414,126.7765,21.646,126.77483,21.64528,0.025149,0.025972,6.00E-06,0.02626,0.00086,-84,250,,,,,,,0,1,0
2005na,2005na,UGC 03634,105.40258,14.13325,105.40317,14.13525,0.026322,0.026849,8.30E-05,0.02694,0.00086,-26,250,105.415651,14.094646,0.026643,0.027171,0.02726,-89,1,1,0
2006ac,2006ac,NGC 4619,190.43692,35.06864,190.43562,35.06278,0.023094,0.023953,9.00E-06,0.02432,0.00085,-107,250,,,,,,,0,1,0
2005lu,2005lu,ESO 545- G 038,39.01546,-17.26389,39.01512,-17.26294,0.032189,0.031479,0.00011,0.0317,0.00087,-63,250,,,,,,,0,1,0
2006ar,2006ar,MCG +11-13-036,159.37812,65.01614,159.38329,65.01828,0.022491,0.022875,1.30E-05,0.02334,0.00085,-137,250,,,,,,,0,1,0
2006ak,2006ak,WISEA J110933.15+283739.8,167.38679,28.63064,167.38808,28.62775,0.037892,0.038933,1.00E-05,0.04006,0.00087,-325,250,,,,,,,0,1,0
2006bb,2006bb,UGC 04468,128.37954,41.51781,128.37821,41.52544,0.024714,0.025338,8.00E-06,0.02605,0.00086,-208,250,,,,,,,0,1,0
2006ax,2006ax,NGC 3663,171.01442,-12.29144,170.99962,-12.29644,0.016495,0.017742,0.00015,0.01747,0.00086,81,250,,,,,,,0,1,0
2006az,2006az,NGC 4172,183.06117,56.17939,183.06204,56.17756,0.031083,0.031633,1.10E-05,0.03206,0.00086,-124,250,183.286309,56.107435,0.03103,0.03158,0.03201,-124,1,1,0
2006cp,2006cp,UGC 07357,184.81204,22.42728,184.80579,22.43153,0.022289,0.023338,2.00E-06,0.02239,0.00085,278,250,,,,,,,0,1,0
2006bq,2006bq,NGC 6685,279.99533,39.98244,279.99433,39.98178,0.02191,0.02145,0.00012,0.0219,0.00086,-132,250,280.027225,40.040291,0.022717,0.022256,0.0227,-132,1,1,0
2006bt,2006bt,CGCG 108-013,239.12721,20.046,239.14033,20.05236,0.032082,0.032409,7.00E-06,0.03121,0.00086,349,250,,,,,,,0,1,0
2006bw,2006bw,2MASS J14335806+0347502,218.48638,3.79883,218.49192,3.79731,0.029962,0.03075,1.60E-05,0.03132,0.00086,-167,250,,,,,,,0,1,0
2006cf,2006cf,UGC 06015,163.51075,46.02675,163.51004,46.028,0.041461,0.042232,1.20E-05,0.04268,0.00087,-130,250,,,,,,,0,1,0
2006cz,2006cz,MCG -01-38-002,222.15275,-4.74186,222.1525,-4.73619,0.0418,0.042554,0.000213,0.0428,0.0009,-72,250,222.152581,-4.577176,0.041754,0.042508,0.04276,-50,1,1,0
2006cq,2006cq,IC 4239,201.10458,30.95631,201.10596,30.95928,0.048442,0.049282,3.30E-05,0.04944,0.00088,-45,250,,,,,,,0,1,0
2006D,2006D,MRK 1337,193.14142,-9.77522,193.14462,-9.77669,0.00853,0.009656,5.00E-05,0.00925,0.00084,121,250,,,,,,,0,1,0
2006en,2006en,ARK 577,347.52108,30.22333,347.51954,30.22433,0.031981,0.030812,1.00E-05,0.03162,0.00086,-236,250,,,,,,,0,1,0
2006et,2006et,NGC 0232,10.69092,-23.55844,10.69092,-23.56136,0.022639,0.021643,0.00015,0.02209,0.00087,-132,250,10.692174,-23.562406,0.022398,0.021402,0.02185,-126,1,1,0
2006eu,2006eu,CGCG 257-035,300.71312,49.31731,300.70779,49.31975,0.023586,0.022914,0.000163,0.02294,0.00087,-9,250,,,,,,,0,1,0
2006ef,2006ef,NGC 0809,31.08129,-8.72839,31.07904,-8.73531,0.017812,0.016939,5.00E-06,0.01734,0.00085,-118,250,,,,,,,0,1,0
2006ej,2006ej,NGC 0191A,9.74904,-9.01572,9.751,-9.01458,0.02038,0.01926,6.00E-06,0.02023,0.00085,-286,250,,,,,,,0,1,0
2006ev,2006ev,UGC 11758,322.74692,13.98922,322.74008,13.98608,0.028733,0.027589,1.40E-05,0.0281,0.00086,-149,250,,,,,,,0,1,0
2006gj,2006gj,UGC 02650,49.39917,-1.69172,49.39367,-1.69508,0.028293,0.027699,0.0001,0.02803,0.00086,-96,250,,,,,,,0,1,0
2006gr,2006gr,UGC 12071,338.09446,30.82869,338.10208,30.83556,0.03467,0.033519,9.00E-06,0.03428,0.00086,-221,250,,,,,,,0,1,0
2006gt,2006gt,WISEA J005618.02-013730.9,14.07208,-1.62944,14.07537,-1.62583,0.044799,0.043657,1.80E-05,0.04464,0.00087,-283,250,,,,,,,0,1,0
2006hb,2006hb,ESO 552- G 052,75.50533,-21.13197,75.50283,-21.13694,0.014957,0.014965,0.00015,0.01518,0.00086,-62,250,,,,,,,0,1,0
2006kf,2006kf,UGC 02829,55.46033,8.15694,55.46192,8.15983,0.020037,0.019545,9.00E-06,0.01947,0.00085,23,250,,,,,,,0,1,0
2006mp,2006mp,UGC 10754 NOTES01,258.00083,46.55578,257.99621,46.55678,0.023,0.022886,0.005,0.02256,0.00507,97,250,,,,,,,0,1,1
2006mo,2006mo,VV 527 NED02,11.66062,36.33272,11.66125,36.33136,0.037186,0.036158,0.000157,0.03702,0.00088,-249,250,,,,,,,0,1,0
2006ot,2006ot,ESO 544- G 031,33.77017,-20.76617,33.76917,-20.76769,0.0531,0.052318,0.00015,0.05202,0.00089,86,250,,,,,,,0,1,0
2006qo,2006qo,UGC 04133,120.03488,56.36881,120.03562,56.36561,0.029704,0.030045,8.30E-05,0.03072,0.00086,-198,250,120.245078,56.610893,0.028376,0.028714,0.02939,-77,1,1,0
2006S,2006S,UGC 07934,191.41292,35.08678,191.41104,35.08375,0.03224,0.033099,1.00E-05,0.03393,0.00086,-240,250,,,,,,,0,1,0
2006sr,2006sr,UGC 00014,0.89592,23.19617,0.89592,23.20078,0.02425,0.023067,8.00E-06,0.02388,0.00085,-238,250,,,,,,,0,1,0
2006td,2006td,KUG 0155+361,29.56567,36.34936,29.56579,36.34828,0.015881,0.015044,9.00E-05,0.0145,0.00085,161,250,,,,,,,0,1,0
2006N,2006N,CGCG 308-009,92.13017,64.72364,92.12662,64.72369,0.014277,0.01427,8.30E-05,0.0149,0.00085,-187,250,93.030569,64.549756,0.014154,0.014157,0.01479,-89,1,1,0
2006te,2006te,CGCG 207-042,122.92912,41.55467,122.93117,41.55497,0.031548,0.032115,8.00E-06,0.0329,0.00086,-227,250,,,,,,,0,1,0
