index,filename,On_Image,SNID,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2,B_P,Good_Bad,ultra_extended
5483,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_14_wfc3_ir_f105w/hst_12498_14_wfc3_ir_f105w_drz.fits,True,Primo,hst_12498_14_wfc3_ir_f105w_drz,2017-09-09,HST,WFC3,F105W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
5484,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_56_wfc3_ir_f140w/hst_12498_56_wfc3_ir_f140w_drz.fits,True,Primo,hst_12498_56_wfc3_ir_f140w_drz,2017-08-18,HST,WFC3,F140W,-2.5e-05,-1.8800000000000002e-37,-1.8800000000000002e-37,2.5e-05,,i/na,
5485,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_13_wfc3_ir_f160w/hst_12498_13_wfc3_ir_f160w_drz.fits,True,Primo,hst_12498_13_wfc3_ir_f160w_drz,2017-08-12,HST,WFC3,F160W,-2.5e-05,1.8800000000000002e-37,1.8800000000000002e-37,2.5e-05,,i/na,
5486,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_38_wfc3_ir_f105w/hst_12498_38_wfc3_ir_f105w_drz.fits,True,Primo,hst_12498_38_wfc3_ir_f105w_drz,2017-09-14,HST,WFC3,F105W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
5487,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_12_wfc3_ir_f160w/hst_12498_12_wfc3_ir_f160w_drz.fits,True,Primo,hst_12498_12_wfc3_ir_f160w_drz,2017-08-20,HST,WFC3,F160W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
5488,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_0e_wfc3_ir_f125w/hst_11563_0e_wfc3_ir_f125w_drz.fits,True,Primo,hst_11563_0e_wfc3_ir_f125w_drz,2017-08-15,HST,WFC3,F125W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
5489,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_25_wfc3_ir_f105w/hst_12498_25_wfc3_ir_f105w_drz.fits,True,Primo,hst_12498_25_wfc3_ir_f105w_drz,2017-09-09,HST,WFC3,F105W,-2.5e-05,-1.8800000000000002e-37,-1.8800000000000002e-37,2.5e-05,,i/na,
5490,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_11_wfc3_ir_f125w/hst_11563_11_wfc3_ir_f125w_drz.fits,True,Primo,hst_11563_11_wfc3_ir_f125w_drz,2017-08-20,HST,WFC3,F125W,-2.5e-05,1.8800000000000002e-37,1.8800000000000002e-37,2.5e-05,,i/na,
5491,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_38_wfc3_ir_f160w/hst_11563_38_wfc3_ir_f160w_drz.fits,True,Primo,hst_11563_38_wfc3_ir_f160w_drz,2017-08-17,HST,WFC3,F160W,-2.5e-05,1.8800000000000002e-37,1.8800000000000002e-37,2.5e-05,,i/na,
5492,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_06_wfc3_ir_f105w/hst_11563_06_wfc3_ir_f105w_drz.fits,True,Primo,hst_11563_06_wfc3_ir_f105w_drz,2017-08-24,HST,WFC3,F105W,-2.5e-05,1.8800000000000002e-37,1.8800000000000002e-37,2.5e-05,,i/na,
