SNID,File_key,Galaxy_key,Galaxy_RA,Galaxy_Dec,Zeropoint,Instrumental_Mag,Apparent_Magnitude,Absolute_Magnitude,Flag_mag,Flag_instrum
2006X,ie9801020_drz,36,185.7286999,15.8222738,25.932537326506313,-14.9309,11.001637326506314,-20.771719266068978,False,False
2006X,hst_14178_cu_wfc3_ir_f160w_id1kcu_drz,37,185.8327412,15.8200771,25.932537326506313,-11.5152,14.417337326506313,-17.356019266068976,False,False
2006X,hst_skycell-p1635x04y19_wfc3_ir_f110w_all_drz,38,185.8140199,15.7942586,25.932537326506313,-0.6736,25.258937326506313,-6.514419266068977,True,False
2006X,hst_15133_31_wfc3_ir_f160w_idkv31_drz,39,185.7288731,15.8222828,25.932537326506313,-14.8435,11.089037326506313,-20.684319266068975,False,False
2006X,iejn62010_drz,40,185.7287721,15.8222813,25.932537326506313,-14.9051,11.027437326506314,-20.745919266068974,False,False
2006X,hst_skycell-p1722x05y02_wfc3_ir_f160w_all_drz,41,185.7214012,15.7969714,25.932537326506313,-7.2217,18.710837326506315,-13.062519266068975,False,False
2006X,hst_skycell-p1636x21y19_wfc3_ir_f110w_all_drz,42,185.721066,15.8045258,25.932537326506313,-5.9149,20.017637326506314,-11.755719266068976,True,False
2006X,hst_16500_02_wfc3_ir_f160w_iejn02_drz,43,185.7400556,15.8082394,25.932537326506313,-5.8167,20.115837326506313,-11.657519266068977,True,False
2006X,ie9801010_drz,44,185.7287613,15.822287,25.932537326506313,-15.4696,10.462937326506314,-21.310419266068976,False,False
2006X,idkv31030_drz,45,185.7288847,15.8223073,25.932537326506313,-14.8729,11.059637326506314,-20.713719266068978,False,False
2006X,hst_14178_cs_wfc3_ir_f110w_id1kcs_drz,46,185.814084,15.7951765,25.932537326506313,-1.1001,24.832437326506312,-6.940919266068978,True,False
2006X,hst_14178_cr_wfc3_ir_f160w_id1kcr_drz,47,185.8326799,15.8200468,25.932537326506313,-11.4903,14.442237326506314,-17.331119266068974,False,False
2006X,hst_14178_cr_wfc3_ir_f110w_id1kcr_drz,48,185.832688,15.820057,25.932537326506313,-12.1674,13.765137326506313,-18.008219266068977,False,False
2006X,hst_skycell-p1636x21y19_wfc3_ir_f160w_coarse-all_drz,49,185.7287996,15.8223838,25.932537326506313,-14.676,11.256537326506313,-20.51681926606898,False,False
2006X,hst_skycell-p1635x04y19_wfc3_ir_f160w_coarse-all_drz,50,185.8160199,15.7961232,25.932537326506313,-1.8806,24.051937326506312,-7.7214192660689775,True,False
2006X,hst_skycell-p1722x05y02_wfc3_ir_f160w_coarse-all_drz,51,185.7200276,15.7982231,25.932537326506313,-2.3636,23.568937326506315,-8.204419266068975,True,False
2006X,hst_skycell-p1636x21y19_wfc3_ir_f160w_all_drz,52,185.7220851,15.804057,25.932537326506313,-3.464,22.468537326506315,-9.304819266068975,True,False
2006X,hst_skycell-p1722x05y02_wfc3_ir_f110w_all_drz,53,185.7210648,15.8045256,25.932537326506313,-6.8077,19.124837326506313,-12.648519266068977,False,False
2005mz,hst_skycell-p2166x04y09_wfc3_ir_f160w_all_drz,54,49.7957276,41.384687,22.22930825092475,99.0,121.22930825092475,86.83424928121002,True,True
2005mz,hst_11207_07_acs_sbc_f140lp_ja2707_drz,55,49.9600228,41.4971478,22.22930825092475,6.257,28.48630825092475,-5.9087507187899675,True,False
2005mz,hst_skycell-p2166x04y09_wfc3_ir_f160w_coarse-all_drz,56,49.7956815,41.3849338,22.22930825092475,-9.2594,12.96990825092475,-21.42515071878997,False,False
2005mz,icoe02010_drz,57,49.9353294,41.5160931,22.22930825092475,-12.4486,9.780708250924748,-24.61435071878997,False,False
2005mz,n46001021_mos,58,49.950709,41.511974,22.22930825092475,-10.2623,11.96700825092475,-22.42805071878997,False,False
2005mz,n46001020_mos,59,49.9506674,41.5119858,22.22930825092475,-10.2259,12.00340825092475,-22.39165071878997,False,False
2005mz,hst_11207_07_acs_sbc_f140lp_drz,60,49.960516,41.4973451,22.22930825092475,5.2907,27.52000825092475,-6.875050718789968,True,False
2005mz,hst_13050_01_wfc3_ir_f160w_ic0b01_drz,61,49.7693754,41.4686191,22.22930825092475,-12.3984,9.830908250924749,-24.564150718789968,False,False
2005mz,icoe02070_drz,62,49.9506598,41.5117085,22.22930825092475,-13.8124,8.416908250924749,-25.97815071878997,False,False
2005mz,ja2708010_drz,63,49.9743623,41.5099589,22.22930825092475,7.0997,29.32900825092475,-5.066050718789967,True,False
2005mz,ja2706010_drz,64,49.9485197,41.5096447,22.22930825092475,6.2575,28.48680825092475,-5.908250718789969,True,False
2005mz,icoe02060_drz,65,49.9506561,41.5117074,22.22930825092475,-13.8228,8.406508250924748,-25.98855071878997,False,False
2005mz,icoe02050_drz,66,49.9506568,41.5117114,22.22930825092475,-13.8193,8.410008250924749,-25.98505071878997,False,False
2005mz,hst_13662_02_wfc3_ir_f160w_icoe02_drz,67,49.964781,41.4704055,22.22930825092475,-5.8858,16.34350825092475,-18.05155071878997,False,False
