,index,SNID,filename,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2,B_P,Good_Bad,On_Image
2685,5423,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_12061_cm_wfc3_ir_f125w_ibeucm/hst_12061_cm_wfc3_ir_f125w_ibeucm_drz.fits,hst_12061_cm_wfc3_ir_f125w_ibeucm_drz,2024-11-09,HST,WFC3,F125W,-3.56e-05,-2.3000000000000004e-21,-1.3900000000000001e-21,3.56e-05,,,True
2686,5424,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_9978_aa_acs_wfc_f775w_j8m8aa/hst_9978_aa_acs_wfc_f775w_j8m8aa_drc.fits,hst_9978_aa_acs_wfc_f775w_j8m8aa_drc,2024-11-07,HST,ACS,F775W,-1.39e-05,4.2099999999999996e-23,-2.25e-22,1.39e-05,,,True
2687,5426,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_9978_d0_acs_wfc_f775w_j8m8d0/hst_9978_d0_acs_wfc_f775w_j8m8d0_drc.fits,hst_9978_d0_acs_wfc_f775w_j8m8d0_drc,2024-11-02,HST,ACS,F775W,-1.39e-05,-5.62e-22,-1.0100000000000002e-21,1.39e-05,,,True
2688,5427,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_12061_7j_wfc3_ir_f125w_ibeu7j/hst_12061_7j_wfc3_ir_f125w_ibeu7j_drz.fits,hst_12061_7j_wfc3_ir_f125w_ibeu7j_drz,2024-11-09,HST,WFC3,F125W,-3.56e-05,-6.22e-23,5.22e-22,3.56e-05,,,True
2689,5428,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_10086_a8_acs_wfc_f775w_j8wca8/hst_10086_a8_acs_wfc_f775w_j8wca8_drc.fits,hst_10086_a8_acs_wfc_f775w_j8wca8_drc,2024-11-02,HST,ACS,F775W,-1.39e-05,4.38e-22,4.24e-22,1.39e-05,,,True
2690,5429,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_12498_40_wfc3_ir_f105w_ibp340/hst_12498_40_wfc3_ir_f105w_ibp340_drz.fits,hst_12498_40_wfc3_ir_f105w_ibp340_drz,2024-11-09,HST,WFC3,F105W,-3.56e-05,1.57e-21,-9.84e-22,3.56e-05,,,True
2691,5430,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_13779_1o_wfc3_ir_f105w_icoi1o/hst_13779_1o_wfc3_ir_f105w_icoi1o_drz.fits,hst_13779_1o_wfc3_ir_f105w_icoi1o_drz,2024-11-09,HST,WFC3,F105W,-3.56e-05,5.7e-22,-5.2599999999999997e-23,3.56e-05,,,True
2692,5431,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_17073_14_wfc3_ir_f140w_iey614/hst_17073_14_wfc3_ir_f140w_iey614_drz.fits,hst_17073_14_wfc3_ir_f140w_iey614_drz,2024-11-09,HST,WFC3,F140W,-3.56e-05,-2.1500000000000003e-21,-1.78e-21,3.56e-05,,,True
2693,5432,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_12177_34_wfc3_ir_f140w_ibhj34/hst_12177_34_wfc3_ir_f140w_ibhj34_drz.fits,hst_12177_34_wfc3_ir_f140w_ibhj34_drz,2024-11-09,HST,WFC3,F140W,-3.56e-05,7.85e-22,7.39e-22,3.56e-05,,,True
2694,5433,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_11563_03_wfc3_ir_f105w_ib5x03/hst_11563_03_wfc3_ir_f105w_ib5x03_drz.fits,hst_11563_03_wfc3_ir_f105w_ib5x03_drz,2024-11-09,HST,WFC3,F105W,-3.56e-05,-7.73e-22,-1.2800000000000001e-22,3.56e-05,,,True
2695,5434,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_12099_pb_wfc3_ir_f125w_ibfupb/hst_12099_pb_wfc3_ir_f125w_ibfupb_drz.fits,hst_12099_pb_wfc3_ir_f125w_ibfupb_drz,2024-11-09,HST,WFC3,F125W,-3.56e-05,1.2800000000000001e-22,2.01e-22,3.56e-05,,,True
2696,5435,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_12498_26_wfc3_ir_f105w_ibp326/hst_12498_26_wfc3_ir_f105w_ibp326_drz.fits,hst_12498_26_wfc3_ir_f105w_ibp326_drz,2024-11-09,HST,WFC3,F105W,-3.56e-05,-9.64e-22,1.16e-21,3.56e-05,,,True
2697,5436,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_12498_48_wfc3_ir_f105w_ibp348/hst_12498_48_wfc3_ir_f105w_ibp348_drz.fits,hst_12498_48_wfc3_ir_f105w_ibp348_drz,2024-11-09,HST,WFC3,F105W,-3.56e-05,7.55e-22,-1.2500000000000001e-21,3.56e-05,,,True
2698,5438,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_9978_9a_acs_wfc_f775w_j8m89a/hst_9978_9a_acs_wfc_f775w_j8m89a_drc.fits,hst_9978_9a_acs_wfc_f775w_j8m89a_drc,2024-11-04,HST,ACS,F775W,-1.39e-05,3.7e-22,-1.6700000000000001e-22,1.39e-05,,,True
2699,5439,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_9575_ek_acs_wfc_f775w_j8fnek/hst_9575_ek_acs_wfc_f775w_j8fnek_drc.fits,hst_9575_ek_acs_wfc_f775w_j8fnek_drc,2024-11-04,HST,ACS,F775W,-1.39e-05,-2.03e-22,1.13e-22,1.39e-05,,,True
2700,5440,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_17073_08_wfc3_ir_f140w_iey608/hst_17073_08_wfc3_ir_f140w_iey608_drz.fits,hst_17073_08_wfc3_ir_f140w_iey608_drz,2024-11-09,HST,WFC3,F140W,-3.56e-05,1.29e-21,-3.91e-22,3.56e-05,,,True
2701,5441,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_9978_78_acs_wfc_f775w_j8m878/hst_9978_78_acs_wfc_f775w_j8m878_drc.fits,hst_9978_78_acs_wfc_f775w_j8m878_drc,2024-11-06,HST,ACS,F775W,-1.39e-05,-2.34e-22,3.12e-22,1.39e-05,,,True
2702,5442,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_9978_a2_acs_wfc_f775w_j8m8a2/hst_9978_a2_acs_wfc_f775w_j8m8a2_drc.fits,hst_9978_a2_acs_wfc_f775w_j8m8a2_drc,2024-11-02,HST,ACS,F775W,-1.39e-05,6.06e-22,6.85e-22,1.39e-05,,,True
2703,5443,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_11563_1b_wfc3_ir_f125w_ib5x1b/hst_11563_1b_wfc3_ir_f125w_ib5x1b_drz.fits,hst_11563_1b_wfc3_ir_f125w_ib5x1b_drz,2024-11-09,HST,WFC3,F125W,-3.56e-05,2.5300000000000003e-22,1.05e-21,3.56e-05,,,True
2704,5444,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_9978_d2_acs_wfc_f775w_j8m8d2/hst_9978_d2_acs_wfc_f775w_j8m8d2_drc.fits,hst_9978_d2_acs_wfc_f775w_j8m8d2_drc,2024-11-02,HST,ACS,F775W,-1.39e-05,-2.9e-22,-3.11e-22,1.39e-05,,,True
2705,5445,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_13779_1k_wfc3_ir_f105w_icoi1k/hst_13779_1k_wfc3_ir_f105w_icoi1k_drz.fits,hst_13779_1k_wfc3_ir_f105w_icoi1k_drz,2024-11-09,HST,WFC3,F105W,-3.56e-05,-4.77e-22,-5.94e-22,3.56e-05,,,True
2706,5446,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_12099_pa_wfc3_ir_f125w_ibfupa/hst_12099_pa_wfc3_ir_f125w_ibfupa_drz.fits,hst_12099_pa_wfc3_ir_f125w_ibfupa_drz,2024-11-08,HST,WFC3,F125W,-3.56e-05,1.2800000000000001e-22,2.01e-22,3.56e-05,,,True
2707,5447,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_12498_61_wfc3_ir_f140w_ibp361/hst_12498_61_wfc3_ir_f140w_ibp361_drz.fits,hst_12498_61_wfc3_ir_f140w_ibp361_drz,2024-11-09,HST,WFC3,F140W,-3.56e-05,-2.2200000000000002e-21,-2.8000000000000004e-21,3.56e-05,,,True
2708,5448,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_11563_32_wfc3_ir_f160w_ib5x32/hst_11563_32_wfc3_ir_f160w_ib5x32_drz.fits,hst_11563_32_wfc3_ir_f160w_ib5x32_drz,2024-11-09,HST,WFC3,F160W,-3.56e-05,1.08e-21,-1.6600000000000001e-21,3.56e-05,,,True
2709,5449,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_9978_67_acs_wfc_f775w_j8m867/hst_9978_67_acs_wfc_f775w_j8m867_drc.fits,hst_9978_67_acs_wfc_f775w_j8m867_drc,2024-11-01,HST,ACS,F775W,-1.39e-05,9.58e-22,5.34e-22,1.39e-05,,,True
2710,5450,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_11563_21_wfc3_ir_f160w_ib5x21/hst_11563_21_wfc3_ir_f160w_ib5x21_drz.fits,hst_11563_21_wfc3_ir_f160w_ib5x21_drz,2024-11-09,HST,WFC3,F160W,-3.56e-05,1.73e-21,2.41e-21,3.56e-05,,,True
2711,5451,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_10086_83_acs_wfc_f775w_j8wc83/hst_10086_83_acs_wfc_f775w_j8wc83_drc.fits,hst_10086_83_acs_wfc_f775w_j8wc83_drc,2024-11-02,HST,ACS,F775W,-1.39e-05,-1.2500000000000001e-22,-6.38e-23,1.39e-05,,,True
2712,5452,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_11563_43_wfc3_ir_f160w_ib5x43/hst_11563_43_wfc3_ir_f160w_ib5x43_drz.fits,hst_11563_43_wfc3_ir_f160w_ib5x43_drz,2024-11-09,HST,WFC3,F160W,-3.56e-05,5.57e-22,1.13e-21,3.56e-05,,,True
2713,5454,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_11563_3b_wfc3_ir_f160w_ib5x3b/hst_11563_3b_wfc3_ir_f160w_ib5x3b_drz.fits,hst_11563_3b_wfc3_ir_f160w_ib5x3b_drz,2024-11-09,HST,WFC3,F160W,-3.56e-05,1.04e-22,7.83e-22,3.56e-05,,,True
2714,5455,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_11563_38_wfc3_ir_f160w_ib5x38/hst_11563_38_wfc3_ir_f160w_ib5x38_drz.fits,hst_11563_38_wfc3_ir_f160w_ib5x38_drz,2024-11-09,HST,WFC3,F160W,-3.56e-05,-7.54e-22,-1.82e-22,3.56e-05,,,True
2715,5456,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_12498_19_wfc3_ir_f105w_ibp319/hst_12498_19_wfc3_ir_f105w_ibp319_drz.fits,hst_12498_19_wfc3_ir_f105w_ibp319_drz,2024-11-09,HST,WFC3,F105W,-3.56e-05,-1.4200000000000002e-21,2.62e-22,3.56e-05,,,True
2716,5457,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_11563_06_wfc3_ir_f105w_ib5x06/hst_11563_06_wfc3_ir_f105w_ib5x06_drz.fits,hst_11563_06_wfc3_ir_f105w_ib5x06_drz,2024-11-09,HST,WFC3,F105W,-3.56e-05,1.3300000000000001e-21,-2.16e-22,3.56e-05,,,True
