SNID,File_key,Galaxy_Key,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Kron_Radius,Mag,Mag_Error,Flux,Flux_Error,CXX,CXY,CYY
1981D,hst_skycell-p0497x09y14_wfc3_ir_f160w_all_drz,1,50.6972846,-37.3278216,-4.49,0.862,0.696,3.5,-0.7742,0.0144,2.040264,0.02697564,1.3487041,0.11263416,2.0607424
1981D,hst_13691_36_wfc3_ir_f160w_icnw36_drz,2,50.6977621,-37.3273233,-29.7,0.877,0.653,13.56,-4.4008,0.0143,57.58859,0.7561813,1.5558203,0.90136963,2.0889692
1981D,iey913020_drc,3,50.6416702,-37.2037841,58.15,1.015,0.389,7.33,0.2845,0.2144,0.769457,0.1518953,5.0446577,-5.0607762,2.5430863
1981D,ib3n03060_drz,4,50.6737663,-37.208012,35.45,70.256,35.733,3.5,-17.0457,0.0001,6580866.0,438.0425,0.00039786007,-0.00054859306,0.00058791024
1981D,hst_11691_03_wfc3_ir_f110w_ib3n03_drz,5,50.6736654,-37.2079692,-36.53,71.893,43.725,3.5,-17.0936,0.0,6877582.0,307.7568,0.00031023574,0.00031526567,0.00040629145
1981D,hst_11691_03_wfc3_ir_f160w_drz,6,50.677547,-37.2331918,-0.48,26.511,7.076,3.5,-8.0015,0.0089,1587.109,13.03646,0.001424111,0.00030920067,0.019968657
1981D,hst_17194_13_wfc3_uvis_f625w_iey913_drc,7,50.6843829,-37.2603826,76.59,0.946,0.695,3.5,0.519,0.1682,0.6199844,0.0960293,2.016741,-0.42842674,1.1693685
1981D,hst_skycell-p0497x09y14_wfc3_ir_f160w_coarse-all_drz,8,50.6977951,-37.3278526,72.86,0.778,0.492,3.5,-3.2771,0.0093,20.45692,0.1757037,3.9139402,-1.3945146,1.8687636
1981D,hst_13691_37_wfc3_ir_f110w_icnw37_drz,9,50.6976207,-37.3332669,2.89,0.721,0.155,6.35,0.8282,0.4842,0.466347,0.2079171,2.0251548,-4.024744,41.758472
1981D,hst_11691_03_wfc3_ir_f160w_ib3n03_drz,10,50.6736815,-37.2079722,-36.91,70.917,42.124,3.5,-16.5196,0.0,4053585.0,180.0473,0.00033037952,0.00035026838,0.00043200827
1981D,hst_skycell-p0497x09y14_wfc3_ir_f110w_all_drz,11,50.6996246,-37.3333434,-17.84,0.763,0.451,8.83,0.021,0.0981,0.9808007,0.08857537,2.0173573,1.8721732,4.6244373
1981D,hst_skycell-p0497x09y14_wfc3_ir_f110w_coarse-all_drz,12,50.6988011,-37.3333213,-2.19,1.22,0.438,4.3,-4.5683,0.0066,67.19539,0.4073031,0.67885143,0.34755704,5.2146564
1981D,ib3n03030_drz,13,50.6737863,-37.2080291,34.47,68.912,39.45,3.5,-17.0858,0.0001,6828576.0,461.6491,0.00034896634,-0.00040313337,0.00050416816
1981D,iey913020_drz,14,50.6416702,-37.2037841,58.15,1.015,0.389,7.35,0.2699,0.2126,0.7798939,0.152663,5.0442061,-5.0603952,2.5428662
1981D,hst_skycell-p0497x09y14_wfc3_uvis_f625w_all_drc,15,50.7367976,-37.2412703,-87.8,0.817,0.474,3.5,-0.4915,0.0529,1.572587,0.07658864,4.4442158,0.22599724,1.5008233
1981D,hst_11691_03_wfc3_ir_f110w_drz,16,50.6857506,-37.2264292,-73.02,33.06,10.563,3.5,-8.7762,0.0113,3239.448,33.78802,0.008276891,0.0044953534,0.0016011532
1981D,ib3n03050_drz,17,50.6737567,-37.208002,33.69,68.614,39.701,3.5,-16.5288,0.0001,4087936.0,270.1121,0.00034227624,-0.0003895766,0.00050456985
1981D,hst_13691_32_wfc3_ir_f160w_icnw32_drz,18,50.6984225,-37.3279069,51.91,1.713,1.135,4.5,-6.4658,0.0013,385.7519,0.4504847,0.6103875,-0.42282829,0.50640136
2012Z,hst_12913_01_wfc3_uvis_f625w_ibzy01_drc,19,50.5527522,-15.4138007,-24.26,1.428,0.492,3.5,0.472,0.0752,0.6474704,0.04481898,1.104035,2.7244403,3.5127709
2012Z,HST_10802_5h_NIC_NIC2_F160W_drz,20,50.5230123,-15.3880662,-89.76,32.698,12.083,0.0,99.0,99.0,-43.55268,7.169191e-05,0.006849403,5.0340419e-05,0.00093539944
2012Z,ib1f20020_drz,21,50.5194971,-15.3958854,-16.19,99.265,14.2,3.5,-10.2686,0.0011,12807.2,13.4388,0.00047901721,0.0026010314,0.0045814971
2012Z,ib1f20040_drz,22,50.5336125,-15.395903,-75.4,34.479,20.356,3.5,-10.3744,0.0007,14117.66,9.2723,0.0023134353,0.00076706207,0.000941084
2012Z,hst_skycell-p0978x05y05_wfc3_ir_f105w_coarse-all_drz,23,50.5422342,-15.3839679,-50.97,1.355,1.054,3.5,-9.5519,0.0021,6618.361,12.64719,0.75924969,0.34771931,0.68577105
2012Z,HST_10802_52_NIC_NIC2_F160W_drz,24,50.5206794,-15.3886276,25.53,18.365,8.777,7.3,-4.1937,0.0417,47.58474,1.826894,0.0048251408,-0.0077906409,0.011122014
2012Z,n9r75i010_mos,25,50.5220407,-15.3888287,-60.79,1.357,1.149,7.63,-0.2683,0.0975,1.280286,0.1149648,0.70685309,0.18298118,0.59438378
2012Z,HST_10802_54_NIC_NIC2_F160W_drz,26,50.524949,-15.3877791,-59.67,66.138,10.423,5.29,-6.2549,0.0084,317.6659,2.461455,0.0069158501,0.0078249751,0.0025176832
2012Z,hst_11570_20_wfc3_ir_f160w_ib1f20_drz,27,50.5357384,-15.4153018,-71.23,15.569,7.866,3.5,-7.156,0.0032,728.4533,2.126666,0.014914607,0.007334556,0.0053720553
2012Z,hst_11570_20_wfc3_ir_f160w_drz,28,50.5348374,-15.422509,22.68,0.536,0.535,3.5,1.9535,0.1955,0.1654257,0.02978176,3.4826369,-0.0068450142,3.4893978
2012Z,ie5402070_drz,29,50.5078533,-15.3824405,-27.37,3.609,2.443,3.93,-8.0466,0.0232,1654.346,35.37984,0.095973343,0.074077666,0.14833538
2012Z,ibzy01010_drc,30,50.5067196,-15.4059431,20.03,0.985,0.384,6.83,-0.6053,0.0393,1.746229,0.06316613,1.7050246,-3.6960888,6.1018872
2012Z,ibzy01010_drz,31,50.5067196,-15.4059431,20.09,0.983,0.384,6.82,-0.5962,0.0396,1.731808,0.06322774,1.7142295,-3.7113686,6.1094084
2012Z,ib1f20010_drz,32,50.5240689,-15.3934351,0.95,35.276,13.118,3.5,-9.8856,0.0009,8999.845,7.258264,0.0008049506,-0.00016529829,0.0058095763
2012Z,hst_skycell-p0978x05y05_wfc3_ir_f125w_coarse-all_drz,33,50.5418282,-15.3847018,-59.01,1.419,1.109,0.0,99.0,99.0,-865.6866,13.6878,0.7286334,0.2790758,0.58010864
2012Z,hst_skycell-p0978x05y05_wfc3_ir_f140w_coarse-all_drz,34,50.5436375,-15.3829354,-29.39,2.475,1.585,0.0,99.0,99.0,-11054.62,21.68556,0.21984048,0.20093438,0.34167376
2012Z,hst_skycell-p0978x05y05_wfc3_uvis_f625w_all_drc,35,50.5527881,-15.4137499,6.34,0.756,0.499,0.0,99.0,99.0,-0.1247912,0.02001001,1.7775896,-0.49782023,3.9893594
2012Z,ie5402040_drz,36,50.5096725,-15.3454558,54.07,1.676,0.637,3.5,-4.6619,0.1605,73.24423,10.82164,1.7383481,-2.0036905,1.08205
2012Z,hst_15889_02_wfc3_ir_f125w_ie5402_drz,37,50.5422363,-15.3845361,22.09,2.248,0.69,3.5,-7.5875,0.013,1083.951,12.93097,0.46654421,-1.3245031,1.8299396
2012Z,hst_12913_01_wfc3_uvis_f625w_drz,38,50.551746,-15.4146382,0.05,20.694,3.555,5.33,-3.769,0.0199,32.18242,0.5885824,0.0023352967,-0.00014257616,0.079142459
2012Z,ie5402060_drz,39,50.507854,-15.3824527,-72.29,2.348,2.259,3.74,-7.5347,0.0273,1032.492,26.00239,0.19461781,0.0084652947,0.18271805
2012Z,hst_skycell-p0978x05y05_wfc3_ir_f160w_all_drz,40,50.5341893,-15.4210352,76.15,14.995,9.707,3.5,-6.2623,0.0012,319.83,0.3468581,0.010259392,-0.0028661008,0.0048008962
2012Z,n9r752010_mos,41,50.5220119,-15.3889282,-8.63,3.018,1.546,8.34,-1.3884,0.0634,3.592297,0.209768,0.11675219,0.091555625,0.41158351
2012Z,hst_skycell-p0978x05y05_wfc3_ir_f105w_all_drz,42,50.5419744,-15.3841146,-47.34,3.07,1.264,3.5,-7.7416,0.0034,1249.278,3.921789,0.38713765,0.51787829,0.34466422
2012Z,icb401010_drz,43,50.5064342,-15.4079216,21.31,0.769,0.436,3.5,2.5906,0.1686,0.09199296,0.01427826,2.1622529,-2.4173779,4.7889175
2012Z,n9r75h010_mos,44,50.5224317,-15.3891538,-56.27,1.737,1.049,5.31,-0.2457,0.0723,1.253934,0.08351587,0.73017478,0.53275675,0.50916654
2012Z,hst_skycell-p0978x05y05_wfc3_ir_f160w_coarse-all_drz,45,50.5357376,-15.4153018,-53.77,11.061,9.566,3.5,-7.1317,0.002,712.3038,1.308155,0.0099657578,0.00262563,0.0091359792
2012Z,hst_13360_01_wfc3_uvis_f625w_icb401_drc,46,50.5529043,-15.4136447,1.47,0.991,0.498,3.5,1.4533,0.0744,0.262236,0.01796342,1.021185,-0.15494631,4.0357575
2012Z,ib1f20030_drz,47,50.5194879,-15.3958642,-18.83,109.137,18.611,3.5,-10.382,0.0011,14216.58,14.18692,0.00037597358,0.0017126821,0.0025951762
2012Z,icb401010_drc,48,50.5064353,-15.4079192,19.61,0.956,0.407,3.5,2.6274,0.1917,0.08892519,0.01569339,1.6507791,-3.1253018,5.481225
2012Z,hst_15889_02_wfc3_ir_f140w_ie5402_drz,49,50.5436296,-15.3829426,-34.64,2.191,1.295,3.5,-9.2481,0.0039,5003.314,17.9379,0.33368903,0.36291051,0.47095641
2012Z,HST_10802_5i_NIC_NIC2_F160W_drz,50,50.5229615,-15.3880913,-62.1,23.918,16.286,0.0,99.0,99.0,-8.647245,1.350965e-05,0.003327491,0.0016723901,0.0021907894
2012Z,hst_skycell-p0978x05y05_wfc3_ir_f125w_all_drz,51,50.5419806,-15.3848847,83.51,3.467,1.779,3.5,-7.4678,0.0059,970.8026,5.255591,0.31313029,-0.052339483,0.086170293
2012Z,n9r754010_mos,52,50.5224198,-15.3891297,-37.72,1.855,1.138,4.75,-0.0669,0.082,1.063533,0.08030125,0.47099638,0.4660888,0.59200025
2012Z,hst_15889_02_wfc3_ir_f105w_ie5402_drz,53,50.5422469,-15.3839825,-53.48,1.287,1.169,3.5,-8.9149,0.0038,3680.791,12.9946,0.6869179,0.12251116,0.64954126
2012Z,hst_15889_02_wfc3_ir_f160w_ie5402_drz,54,50.5421544,-15.3814877,-86.2,1.108,0.495,5.67,-3.4061,0.2779,23.03849,5.89487,4.0619869,0.43122005,0.8284601
2012Z,hst_skycell-p0978x05y05_wfc3_ir_f140w_all_drz,55,50.5381244,-15.3829958,-71.2,2.221,0.978,4.0,-3.6158,0.1377,27.94646,3.543082,0.95831507,0.51445138,0.2902582
ASASSN-16ip,if7r06010_drz,56,36.8366237,-23.9319337,-76.92,44.236,13.847,3.5,-7.1552,0.0059,727.9107,3.923947,0.0049744979,0.0020733592,0.00075181085
ASASSN-16ip,hst_17446_06_wfc3_ir_f110w_if7r06_drz,57,36.8459051,-23.9303975,-57.9,42.728,13.95,3.5,-6.9453,0.0073,599.9363,4.017759,0.0038420504,0.00413376,0.0018445269
ASASSN-16ip,hst_17446_30_wfc3_ir_f110w_if7r30_drz,58,36.8409339,-23.9287359,-26.04,48.037,36.734,3.5,-12.8058,0.0001,132537.6,6.243592,0.00049268617,0.00024279361,0.00068176904
ASASSN-16ip,if7r30010_drz,59,36.8410963,-23.9286757,36.86,46.604,35.313,3.5,-12.8527,0.0,138388.1,5.672548,0.00058329449,-0.0003277956,0.00067905028
carter,hst_12461_c2_wfc3_ir_f160w_ibwjc2_drz,60,150.0676099,2.1937311,83.22,19.815,4.971,3.5,-9.0019,0.0007,3987.955,2.461362,0.039938491,-0.008890437,0.0030753729
carter,hst_12461_d2_wfc3_ir_f160w_drz,61,150.0803711,2.1719219,-55.19,43.694,10.453,3.5,-5.2492,0.0145,125.7985,1.674961,0.0063407174,0.0080873249,0.003334756
carter,ibwjc1020_drz,62,150.0677317,2.19375,85.95,19.815,5.205,3.5,-9.0084,0.0007,4011.961,2.519359,0.036743253,-0.0048429156,0.0027183653
carter,hst_12440_10_wfc3_ir_f125w_drz,63,150.0677046,2.1937025,83.23,30.265,7.641,3.5,-8.9926,0.0004,3954.089,1.498342,0.016905069,-0.0037542148,0.0013145778
carter,hst_12461_d3_wfc3_ir_f125w_ibwjd3_drz,64,150.0754855,2.1730869,24.36,7.058,4.297,4.05,-5.411,0.005,146.022,0.6764755,0.025870148,-0.025605762,0.04835688
carter,hst_13792_05_wfc3_ir_f105w_icnq05_drz,65,150.0676808,2.1937236,83.41,22.625,5.812,3.5,-8.7348,0.0007,3118.175,1.97895,0.029241072,-0.0063031549,0.0023175105
carter,hst_12440_54_wfc3_ir_f160w_drz,66,150.067697,2.1937142,83.25,29.105,7.966,3.5,-9.0143,0.0003,4033.762,0.9626685,0.015558341,-0.0034024718,0.0013818257
carter,icnq05020_drz,67,150.0605632,2.1755889,38.49,1.968,1.659,3.5,-4.2808,0.0062,51.56179,0.2923544,0.29885674,-0.10226379,0.32249439
carter,hst_12461_d3_wfc3_ir_f125w_drz,68,150.0777293,2.171565,-49.84,17.622,13.016,3.5,-4.1914,0.0195,47.48619,0.8515601,0.0047870162,0.0026446923,0.0043360153
carter,hst_12440_10_wfc3_ir_f160w_drz,69,150.0677058,2.1937069,83.15,29.127,7.907,3.5,-9.0143,0.0003,4033.938,1.012936,0.015784856,-0.0035103725,0.0013896071
carter,ibwjd3030_drz,70,150.0951372,2.1937512,34.89,8.457,5.108,3.5,-7.5549,0.0007,1051.907,0.7065209,0.021945948,-0.022844145,0.030362541
carter,iboa54030_drz,71,150.06773,2.1937397,-89.7,21.614,5.826,3.5,-9.0058,0.0005,4002.371,1.842117,0.029461997,0.00028504935,0.0021414014
carter,ibwjd3pxq_drz,72,150.092404,2.1936348,-21.84,8.895,6.449,3.5,-6.8062,0.0028,527.8012,1.365173,0.014218484,0.0078789731,0.022468366
carter,hst_12461_d2_wfc3_ir_f160w_ibwjd2_drz,73,150.0794575,2.1698877,-36.29,1.806,1.153,8.14,-5.4663,0.0035,153.6514,0.4997685,0.46276149,0.4252246,0.59621918
carter,iboa10040_drz,74,150.0677313,2.1937459,-89.8,20.804,5.901,3.5,-9.0291,0.0004,4089.396,1.342602,0.028720874,0.00018220083,0.0023108756
carter,hst_12461_c6_wfc3_ir_f125w_ibwjc6_drz,75,150.0676298,2.1937366,83.05,21.052,5.422,3.5,-8.9995,0.0007,3979.226,2.721494,0.03355414,-0.0076300721,0.002721352
carter,hst_12461_d4_wfc3_ir_f160w_drz,76,150.0634548,2.1732679,89.94,22.739,13.58,3.5,-4.4875,0.0166,62.37577,0.9558562,0.0054227398,-7.7381146e-06,0.0019340137
carter,hst_12461_d4_wfc3_ir_f160w_ibwjd4_drz,77,150.068331,2.1710423,-89.99,1.689,1.399,4.23,-2.4291,0.0233,9.367675,0.2007513,0.51102746,5.5720691e-05,0.3504948
carter,ibwjc2020_drz,78,150.0758876,2.2033686,64.55,13.911,9.81,3.5,-9.5335,0.0005,6507.374,2.911725,0.009426699,-0.0040536523,0.0061316029
carter,ibwjc5020_drz,79,150.0677343,2.1937517,89.22,21.086,5.4,3.5,-8.9996,0.0007,3979.688,2.71044,0.034285903,-0.00087443762,0.0022551271
carter,ibwjd2030_drz,80,150.0878791,2.1945561,-37.38,6.725,5.706,3.5,-6.5466,0.0024,415.5547,0.9315438,0.025279939,0.0082995268,0.027541634
carter,ibwjc7020_drz,81,150.0677287,2.1937497,89.36,22.058,5.149,3.5,-8.7315,0.001,3108.715,2.746711,0.037710324,-0.00079211826,0.0020597165
carter,hst_12461_d3_wfc3_ir_f160w_drz,82,150.0777299,2.1715649,-49.6,17.457,12.581,3.5,-4.3477,0.0171,54.83753,0.8620557,0.0050423448,0.0029974137,0.004557176
carter,hst_12461_d4_wfc3_ir_f125w_drz,83,150.0634544,2.1732645,-89.94,23.317,13.805,3.5,-4.3785,0.0185,56.4162,0.9585181,0.0052469559,6.7407368e-06,0.0018392421
carter,hst_12461_d2_wfc3_ir_f125w_ibwjd2_drz,84,150.0793545,2.169617,10.51,1.579,1.367,4.54,-5.3233,0.0024,134.6846,0.2949778,0.4057419,-0.047870461,0.53031653
carter,hst_12461_c7_wfc3_ir_f105w_ibwjc7_drz,85,150.0561927,2.1774523,73.03,1.568,1.117,3.5,-1.9881,0.0594,6.240884,0.3411285,0.7678116,-0.2204767,0.44012988
carter,ibwjd1020_drz,86,150.0758806,2.203381,-4.12,14.821,10.802,3.5,-9.5543,0.0003,6633.133,1.880365,0.0045732684,0.00057615869,0.0085500041
carter,ibwjd4diq_drz,87,150.0677312,2.1937525,-63.76,21.783,5.659,3.5,-9.0095,0.0005,4016.013,2.005816,0.025535468,0.023101529,0.0078024077
carter,ibwjd1030_drz,88,150.0758878,2.2033815,-3.54,15.248,11.118,3.5,-9.6196,0.0003,7044.196,1.970469,0.0043154168,0.0004668083,0.008075743
carter,ibwjd4030_drz,89,150.0809976,2.1799352,49.58,2.789,2.481,3.5,-7.1173,0.0004,702.9722,0.2784801,0.14824106,-0.033502132,0.14284176
carter,iboa10030_drz,90,150.067728,2.1937452,-89.84,21.787,5.743,3.5,-9.0103,0.0005,4018.996,1.983347,0.030321321,0.00015614816,0.002106898
carter,ibwjd4040_drz,91,150.067734,2.19375,-63.73,22.071,6.0,3.5,-9.0138,0.0004,4031.818,1.356025,0.022737268,0.020414891,0.0070901676
carter,ibwjc4020_drz,92,150.0758862,2.2033737,46.74,14.018,9.737,3.5,-9.5859,0.0005,6828.944,2.96315,0.0079840571,-0.0054483246,0.0076527782
carter,hst_12461_d1_wfc3_ir_f125w_ibwjd1_drz,93,150.0676951,2.1937306,83.48,21.517,6.59,3.5,-9.0199,0.0005,4054.634,1.812238,0.022757741,-0.0047084228,0.0024289377
carter,hst_12440_10_wfc3_ir_f125w_iboa10_drz,94,150.0676967,2.1937238,83.2,21.702,5.756,3.5,-9.0105,0.0005,4019.677,1.986265,0.029793622,-0.006598982,0.0025166695
carter,hst_12461_c1_wfc3_ir_f160w_ibwjc1_drz,95,150.0641158,2.1786287,-75.46,4.42,1.512,3.65,-3.8315,0.0214,34.08763,0.6708072,0.41293919,0.18769877,0.075539082
carter,hst_12461_d1_wfc3_ir_f160w_drz,96,150.0632507,2.1743642,40.95,15.557,11.082,3.5,-5.0076,0.0114,100.7004,1.055632,0.0058543575,-0.0039703995,0.0064195762
carter,hst_12440_54_wfc3_ir_f125w_iboa54_drz,97,150.0676993,2.1937246,83.31,21.546,5.85,3.5,-9.0063,0.0005,4004.216,1.868443,0.02885385,-0.0062620984,0.002521279
carter,ibwjd2020_drz,98,150.0956504,2.2037133,66.11,5.65,4.68,3.5,-6.6542,0.0018,458.8741,0.7585342,0.043311562,-0.010619773,0.033678286
carter,ibwjd3040_drz,99,150.0677325,2.1937517,-55.32,22.325,6.815,3.5,-9.0328,0.0004,4103.297,1.487897,0.015209912,0.018273285,0.008328828
carter,hst_12440_10_wfc3_ir_f160w_iboa10_drz,100,150.0676984,2.1937222,83.26,20.748,6.772,3.5,-9.0395,0.0004,4128.747,1.443309,0.021534877,-0.0045424183,0.0025916016
carter,icxe12010_drz,101,150.0442593,2.0831682,44.08,4.67,3.943,3.5,-11.269,0.0,32179.56,1.444215,0.054786686,-0.01845048,0.055376526
carter,hst_14114_12_wfc3_ir_f160w_icxe12_drz,102,150.0442636,2.0831723,35.13,4.33,3.544,3.5,-11.3461,0.0,34550.04,1.363584,0.062043291,-0.024737857,0.070920207
carter,iboa54k0q_drz,103,150.0677463,2.1937471,-89.26,20.818,5.771,3.5,-9.0214,0.0004,4060.3,1.605996,0.030026313,0.00071926619,0.0023119878
carter,ibwjc3020_drz,104,150.075888,2.2033738,45.43,13.81,9.567,3.5,-9.5191,0.0005,6421.317,2.858276,0.0081263259,-0.0056812335,0.0080417572
carter,iboa54k4q_drz,105,150.0677356,2.1937433,-89.78,20.549,5.628,3.5,-9.0241,0.0005,4070.472,1.818123,0.031569157,0.0002255009,0.002368598
carter,hst_12461_d4_wfc3_ir_f125w_ibwjd4_drz,106,150.0677014,2.1937364,83.49,22.254,6.872,3.5,-9.0295,0.0003,4090.734,1.312575,0.020927442,-0.0043168082,0.0022656573
carter,hst_12461_d1_wfc3_ir_f125w_drz,107,150.0714472,2.1739624,-26.14,23.803,9.857,0.0,99.0,99.0,-217.1699,1.24585,0.0034200873,0.0067448323,0.0086362418
carter,ibwjc6020_drz,108,150.0677373,2.1937442,89.07,21.078,5.415,3.5,-8.9985,0.0007,3975.703,2.709754,0.034090292,-0.0010349685,0.0022591623
carter,hst_12461_c4_wfc3_ir_f125w_ibwjc4_drz,109,150.0676419,2.1937157,83.35,21.094,5.155,3.5,-8.996,0.0007,3966.488,2.696911,0.037163593,-0.008138787,0.0027217942
carter,hst_12440_54_wfc3_ir_f160w_iboa54_drz,110,150.0550341,2.1753642,72.67,4.035,1.632,7.71,-5.4418,0.0047,150.218,0.6476491,0.34742871,-0.17849694,0.089280181
carter,hst_12461_c5_wfc3_ir_f125w_ibwjc5_drz,111,150.0676238,2.1937402,83.23,21.115,5.521,3.5,-9.0055,0.0007,4001.375,2.75291,0.032384399,-0.0071579469,0.0026679591
carter,ibwjc8020_drz,112,150.0677333,2.1937469,89.55,21.966,5.214,3.5,-8.7319,0.001,3109.972,2.761901,0.036781762,-0.00054234744,0.0020746712
carter,hst_12461_d3_wfc3_ir_f160w_ibwjd3_drz,113,150.0714628,2.1690179,-7.56,2.637,2.103,3.5,-3.8403,0.0081,34.36461,0.2573353,0.14528501,0.021485411,0.22475167
carter,hst_12461_d1_wfc3_ir_f160w_ibwjd1_drz,114,150.067694,2.1937314,83.36,20.607,5.699,3.5,-9.0169,0.0004,4043.501,1.637463,0.030413244,-0.0065318719,0.0027351461
carter,hst_12461_d2_wfc3_ir_f125w_drz,115,150.0830679,2.1761862,-68.03,56.784,11.498,0.0,99.0,99.0,-739.5554,2.044376,0.0065483483,0.0050341105,0.0013257342
carter,hst_12461_c8_wfc3_ir_f105w_ibwjc8_drz,116,150.0676257,2.1937267,83.59,22.076,5.34,3.5,-8.7399,0.001,3132.901,2.812455,0.034659877,-0.0073215677,0.002462873
carter,hst_12461_c3_wfc3_ir_f160w_ibwjc3_drz,117,150.0829896,2.1753937,46.58,2.621,2.454,3.5,-7.7527,0.0006,1262.042,0.6392828,0.15643524,-0.020461386,0.1553044
carter,hst_12440_54_wfc3_ir_f125w_drz,118,150.0676955,2.1937099,83.22,30.227,7.768,3.5,-8.9919,0.0004,3951.623,1.400344,0.016357681,-0.0036295641,0.0013102979
SCP05D6,n9epdm010_mos,119,35.4451803,-3.3787781,56.07,4.646,1.241,7.76,-0.9475,0.0602,2.393244,0.1327528,0.46127814,-0.55823469,0.23407362
SCP05D6,hst_10496_o8_acs_wfc_f775w_j9epo8_drc,120,35.4067351,-3.3962559,-22.16,1.234,0.988,3.5,-2.2253,0.0101,7.764585,0.07208785,0.7091769,0.25666592,0.97192258
SCP05D6,j9epo6b6q_drz,121,35.4606248,-3.3885104,4.33,0.935,0.582,4.46,-2.0952,0.012,6.887622,0.07595854,1.153079,-0.27276102,2.944782
SCP05D6,hst_10496_o7_acs_wfc_f775w_j9epo7_drc,122,35.4339523,-3.406414,-46.68,2.821,0.931,3.5,-3.7562,0.0044,31.8046,0.1284179,0.67004442,1.0267386,0.6098212
SCP05D6,HST_10496_d2_NIC_NIC2_F110W_drz,123,35.4419313,-3.385977,74.82,20.577,7.036,3.5,-6.287,0.0015,327.1935,0.4372033,0.018975111,-0.0090143783,0.0035845523
SCP05D6,HST_10496_d3_NIC_NIC2_F110W_drz,124,35.4459066,-3.3805038,31.6,89.976,29.416,0.0,99.0,99.0,-1709.112,4.000445e-05,0.00040691788,-0.00092128728,0.0008722698
SCP05D6,hst_skycell-p1241x13y05_acs_wfc_f775w_all_drc,125,35.4339554,-3.4064103,-46.56,3.691,1.017,3.5,-3.8091,0.0037,33.39159,0.1139818,0.54446012,0.89229882,0.49597558
SCP05D6,n9epd5010_mos,126,35.4455741,-3.3792674,-85.09,2.236,1.334,6.35,-0.525,0.0748,1.621807,0.1116695,0.5592193,0.061682761,0.2025833
SCP05D6,hst_skycell-p1241x14y05_acs_wfc_f775w_all_drc,127,35.2711038,-3.5479435,1.85,0.977,0.487,5.3,0.9198,0.1232,0.4286168,0.04862585,1.0506529,-0.20550662,4.2200484
SCP05D6,j9epo5gdq_drc,128,35.4679328,-3.3549045,2.59,0.87,0.711,3.5,-3.3561,0.0031,22.0012,0.0625163,1.3229332,-0.059184562,1.9763545
SCP05D6,hst_10496_o6_acs_wfc_f775w_j9epo6_drc,129,35.4071825,-3.4015335,-0.98,0.839,0.401,5.53,-0.6891,0.042,1.88651,0.07293013,1.4226904,0.16303542,6.2021623
SCP05D6,n9epd4010_mos,130,35.4462676,-3.3789899,-19.56,5.379,5.085,5.03,-1.5555,0.036,4.189942,0.138704,0.035025939,0.0025918954,0.038213901
SCP05D6,hst_10496_o4_acs_wfc_f775w_j9epo4_drc,131,35.4531102,-3.3913126,0.0,1.431,0.289,8.24,-0.0131,0.1323,1.012136,0.1232986,0.48828232,-0.0,12.000005
SCP05D6,j9epo7jgq_drc,132,35.433385,-3.4063612,-5.85,0.942,0.458,6.52,0.4874,0.1657,0.6383067,0.09736323,1.163586,0.73887068,4.7340736
SCP05D6,HST_10496_d4_NIC_NIC2_F110W_drz,133,35.4469303,-3.382933,88.73,22.764,10.47,0.0,99.0,99.0,-19.82506,0.5750381,0.0091182236,-0.0003175569,0.0019333168
SCP05D6,j9epo5gdq_drz,134,35.4679328,-3.3549045,2.3,0.874,0.711,3.5,-3.3561,0.003,22.00028,0.06106461,1.3096557,-0.053901855,1.9781483
SCP05D6,j9epo6b6q_drc,135,35.4606248,-3.3885104,4.33,0.935,0.582,4.46,-2.0952,0.0122,6.88798,0.07761709,1.1530712,-0.27277121,2.9449258
SCP05D6,j9epo8sgq_drz,136,35.4512709,-3.3280919,8.09,0.903,0.443,6.03,0.7272,0.1461,0.5118222,0.06884556,1.3026942,-1.078146,5.0171032
SCP05D6,HST_10496_d5_NIC_NIC2_F110W_drz,137,35.4470155,-3.3840132,-87.17,16.541,14.192,3.5,-2.4319,0.0117,9.392385,0.1008454,0.0049615866,0.00012902307,0.0036579755
SCP05D6,j9epo7jgq_drz,138,35.433385,-3.4063612,-5.84,0.942,0.458,6.51,0.4891,0.162,0.6373234,0.09508807,1.1636971,0.73870718,4.734385
SCP05D6,n9epd2010_mos,139,35.4399283,-3.3806164,20.01,2.376,1.905,7.19,-0.6476,0.0643,1.815746,0.107572,0.18867092,-0.063368909,0.26416004
SCP05D6,n9epd3010_mos,140,35.442132,-3.3794292,-60.34,0.919,0.694,6.6,0.9282,0.1073,0.4253075,0.04203337,1.8592716,0.76831537,1.4035237
SCP05D6,HST_10496_dm_NIC_NIC2_F110W_drz,141,35.4428436,-3.3851921,58.71,8.042,5.705,7.71,-1.8882,0.0248,5.692035,0.1299935,0.026608048,-0.013551783,0.019580213
SCP05D6,j9epo8sgq_drc,142,35.4512709,-3.3280919,8.09,0.903,0.443,6.02,0.7314,0.1508,0.50985,0.07079674,1.3032917,-1.0782725,5.0189915
SCP05D6,j9epo4esq_drc,143,35.4597439,-3.3358879,0.35,0.872,0.376,5.27,-0.1925,0.0639,1.193999,0.07021485,1.3141174,-0.07105156,7.0551829
