SNID,File_key,Galaxy_Key,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Kron_Radius,Mag,Mag_Error,Flux,Flux_Error,CXX,CXY,CYY
Primo,j8m8c5020_drc,13160,53.1603209,-27.8255843,62.96,11.976,3.319,4.05,-2.9418,0.0088,15.02241,0.1223856,0.073470131,-0.067867264,0.024288481
Primo,hst_12099_p5_wfc3_ir_f125w_ibfup5_drz,13161,53.1669075,-27.7988111,-38.05,3.913,3.274,5.76,-4.5228,0.0124,64.43748,0.7365855,0.075927965,0.027163094,0.082650267
Primo,j8m8b2020_drz,13162,53.1655515,-27.8285545,53.12,17.198,3.105,4.1,-2.8225,0.0114,13.45897,0.1412053,0.067590199,-0.096355304,0.039529558
Primo,j8i0acjdq_drz,13163,53.1493861,-27.7839839,-0.24,1.032,0.56,4.44,-3.5907,0.0019,27.30828,0.04783183,0.93967581,0.01870154,3.1843112
Primo,ib5x17020_drz,13164,53.152576,-27.7695896,-81.97,6.68,4.447,3.55,-4.0324,0.0077,41.01567,0.2923899,0.050014447,0.0077843196,0.022961261
Primo,hst_9978_bf_acs_wfc_f775w_j8m8bf_drc,13165,53.1617847,-27.8323373,-4.9,15.585,7.762,3.5,-5.5331,0.0013,163.3923,0.1904778,0.0042081997,0.0021258795,0.016506504
Primo,hst_12061_mx_wfc3_ir_f125w_ibeumx_drz,13166,53.1729954,-27.7779241,68.33,3.319,2.387,3.5,-3.2137,0.0248,19.29651,0.4400339,0.16389948,-0.0581186,0.10229632
Primo,hst_12498_64_wfc3_ir_f140w_ibp364_drz,13167,53.160004,-27.8081136,55.07,3.039,1.416,3.5,-2.2636,0.0167,8.043468,0.1239444,0.37056822,-0.36634979,0.23617545
Primo,ibfub3ktq_drz,13168,53.1554725,-27.7915799,26.62,7.038,6.24,3.5,-7.1035,0.0016,694.077,1.050015,0.021291843,-0.004401051,0.024580585
Primo,hst_12061_cm_wfc3_ir_f125w_drz,13169,53.1754632,-27.7953235,0.02,50.973,7.165,3.5,-6.4281,0.004,372.5884,1.379637,0.00038487674,-1.4410505e-05,0.019479845
Primo,icxt26020_drz,13170,53.1438361,-27.8127783,87.94,8.869,3.296,4.98,-5.3063,0.0166,132.5901,2.032765,0.091945909,-0.0056928378,0.012815482
Primo,n8g6i5010_mos,13171,53.153099,-27.7804138,-12.11,1.807,0.888,8.35,0.1937,0.0874,0.836642,0.06732664,0.34869036,0.39441395,1.2257773
Primo,hst_12099_bq_wfc3_ir_f153m_drz,13172,53.1707435,-27.8215285,-0.41,43.745,4.761,4.14,-4.097,0.0129,43.53002,0.5178336,0.00052477856,0.00062180276,0.044111114
Primo,hst_12498_38_wfc3_ir_f105w_drz,13173,53.1586672,-27.8075906,57.07,13.53,10.704,3.5,-4.6418,0.0141,71.90032,0.9321679,0.0077625155,-0.0029792872,0.0064270236
Primo,hst_12498_44_wfc3_ir_f105w_ibp344_drz,13174,53.1630799,-27.8089302,-81.68,2.471,1.059,3.5,-5.1121,0.0034,110.8815,0.3426675,0.87655669,0.20848913,0.17905772
Primo,hst_12062_em_wfc3_ir_f125w_drz,13175,53.1193778,-27.7797793,34.04,36.039,13.445,3.5,-6.6457,0.004,455.2758,1.689715,0.0022623597,-0.0044181333,0.0040397095
Primo,hst_12498_57_wfc3_ir_f140w_drz,13176,53.1690036,-27.8010059,-50.97,126.672,11.323,0.0,99.0,99.0,-1109.118,1.180834,0.0047306707,0.0075697191,0.0031308932
Primo,hst_12498_56_wfc3_ir_f140w_drz,13177,53.1704342,-27.8005447,-51.27,133.343,10.666,0.0,99.0,99.0,-861.9303,1.170866,0.0053706155,0.0085249282,0.0034750074
Primo,j92ql9zbq_drc,13178,53.1559795,-27.8193859,-0.73,1.328,0.669,3.5,-1.7655,0.013,5.084141,0.06080468,0.5672859,0.042594023,2.2339957
Primo,hst_12498_48_wfc3_ir_f105w_drz,13179,53.1580202,-27.8069151,38.57,26.433,6.44,3.5,-2.9768,0.1703,15.51327,2.432111,0.010250563,-0.02211551,0.015295506
Primo,hst_12061_7j_wfc3_ir_f125w_ibeu7j_drz,13180,53.1380962,-27.78509,68.23,1.165,0.747,3.5,-4.5224,0.0025,64.41021,0.1498643,1.6451017,-0.72603947,0.88120168
Primo,j8m84d020_drz,13181,53.1851303,-27.8052467,80.11,10.994,7.874,3.58,-5.1141,0.0015,111.0782,0.1572848,0.015897112,-0.0026581653,0.0085045025
Primo,hst_12062_8w_wfc3_ir_f160w_drz,13182,53.1667046,-27.7926853,72.94,40.131,13.321,3.5,-5.954,0.008,240.7762,1.781422,0.0052038827,-0.0028135541,0.0010527369
Primo,hst_12498_19_wfc3_ir_f105w_drz,13183,53.1764842,-27.7922885,-48.41,84.008,9.904,0.0,99.0,99.0,-183.0104,1.083506,0.0057660653,0.0099821743,0.0045708064
2005cc,n3zb1d010_mos,13184,209.2686223,41.8454584,45.54,39.482,18.956,3.5,-8.4323,0.003,2360.003,6.430655,0.0017326141,-0.0021411863,0.0016919717
2005cc,HST_7330_1d_NIC_NIC2_F160W_drz,13185,209.2732254,41.8461257,-75.31,57.549,16.762,3.5,-7.6424,0.0061,1140.15,6.408498,0.0033497964,0.0015984016,0.00051150611
2016coj,hst_skycell-p2519x16y08_wfc3_ir_f110w_coarse-all_drz,13186,182.0245054,65.1743043,-6.83,93.559,39.579,3.5,-16.2493,0.0,3160362.0,66.38378,0.00012165347,0.00012376235,0.00063095544
2016coj,hst_skycell-p2519x15y08_wfc3_ir_f110w_coarse-all_drz,13187,182.0515371,65.1759877,87.7,71.044,35.69,4.19,-11.4465,0.0017,37897.78,57.91446,0.00078410725,-4.7042875e-05,0.00019907461
2016coj,hst_skycell-p2519x15y08_wfc3_ir_f110w_all_drz,13188,182.0535879,65.1512043,-75.51,2.156,1.141,3.5,-4.924,0.0024,93.239,0.206013,0.73360312,0.26797974,0.24976897
2016coj,n6lf04030_mos,13189,182.0245228,65.1743645,21.4,42.724,21.24,3.5,-13.2129,0.0005,192823.6,85.66925,0.00077001733,-0.0011338856,0.0019945062
2016coj,n6lf04020_mos,13190,182.0249575,65.1744092,22.22,39.834,20.735,3.5,-9.8593,0.0006,8784.747,4.468825,0.00087274914,-0.0011873485,0.0020833649
2016coj,n6lf04010_mos,13191,182.0249702,65.1743924,21.64,37.852,20.615,3.5,-9.8033,0.0006,8343.294,4.993505,0.00092309632,-0.001134772,0.0021278646
2016coj,HST_9360_04_NIC_NIC3_F190N_drz,13192,182.0246951,65.1743557,-6.96,66.977,31.502,3.5,-11.3853,0.0002,35820.18,5.46882,0.00023445062,0.00018883744,0.00099615206
2016coj,HST_9360_04_NIC_NIC3_F187N_drz,13193,182.0246853,65.1743337,-7.67,70.444,36.191,3.5,-11.343,0.0,34450.05,0.00406296,0.00021153071,0.00014868042,0.00075344811
2016coj,hst_17446_17_wfc3_ir_f110w_if7r17_drz,13194,182.0244855,65.1743305,-9.19,90.086,36.561,3.5,-16.3044,0.0,3324816.0,132.9722,0.00013916451,0.00019706694,0.00073216
2016coj,HST_9360_04_NIC_NIC3_F160W_drz,13195,182.0244984,65.1743482,-7.0,71.254,33.133,3.5,-14.7254,0.0001,776505.4,87.76005,0.00020754985,0.00017262057,0.00090033893
