SNID,filename,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2,RA_SN,Dec_SN,filenameshort,Galaxy_Key,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Kron_Radius,Mag,Mag_Error,Flux,Flux_Error,CXX,CXY,CYY,a_pixels,b_pixels,theta_deg,PA_deg,theta_rad,a_arcsec,b_arcsec
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12099_p5_wfc3_ir_f125w/hst_12099_p5_wfc3_ir_f125w_drz.fits,hst_12099_p5_wfc3_ir_f125w_drz,2017-09-09,HST,WFC3,F125W,-2.5e-05,6.09376271466273e-35,-3.761581922631299e-37,2.50000000000009e-05,,,hst_12099_p5_wfc3_ir_f125w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_63_wfc3_ir_f140w/hst_12498_63_wfc3_ir_f140w_drz.fits,hst_12498_63_wfc3_ir_f140w_drz,2017-08-14,HST,WFC3,F140W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_12498_63_wfc3_ir_f140w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_1c_wfc3_ir_f125w/hst_11563_1c_wfc3_ir_f125w_drz.fits,hst_11563_1c_wfc3_ir_f125w_drz,2017-09-13,HST,WFC3,F125W,-2.4999999999999e-05,1.88079096131566e-37,1.88079096131566e-37,2.49999999999999e-05,,,hst_11563_1c_wfc3_ir_f125w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12099_by_wfc3_ir_f105w/hst_12099_by_wfc3_ir_f105w_drz.fits,hst_12099_by_wfc3_ir_f105w_drz,2017-08-29,HST,WFC3,F105W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_12099_by_wfc3_ir_f105w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_36_wfc3_ir_f105w/hst_12498_36_wfc3_ir_f105w_drz.fits,hst_12498_36_wfc3_ir_f105w_drz,2017-09-09,HST,WFC3,F105W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_12498_36_wfc3_ir_f105w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12099_by_wfc3_ir_f140w/hst_12099_by_wfc3_ir_f140w_drz.fits,hst_12099_by_wfc3_ir_f140w_drz,2017-08-29,HST,WFC3,F140W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_12099_by_wfc3_ir_f140w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12062_8x_wfc3_ir_f125w/hst_12062_8x_wfc3_ir_f125w_drz.fits,hst_12062_8x_wfc3_ir_f125w_drz,2017-08-25,HST,WFC3,F125W,-2.4999999999999e-05,1.88079096131566e-37,1.88079096131566e-37,2.49999999999999e-05,,,hst_12062_8x_wfc3_ir_f125w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12099_p5_wfc3_ir_f160w/hst_12099_p5_wfc3_ir_f160w_drz.fits,hst_12099_p5_wfc3_ir_f160w_drz,2017-09-09,HST,WFC3,F160W,-2.5e-05,6.09376271466273e-35,-3.761581922631299e-37,2.50000000000009e-05,,,hst_12099_p5_wfc3_ir_f160w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12062_8l_wfc3_ir_f160w/hst_12062_8l_wfc3_ir_f160w_drz.fits,hst_12062_8l_wfc3_ir_f160w_drz,2017-08-24,HST,WFC3,F160W,-2.5e-05,0.0,0.0,2.50000000000009e-05,,,hst_12062_8l_wfc3_ir_f160w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_15_wfc3_ir_f105w/hst_11563_15_wfc3_ir_f105w_drz.fits,hst_11563_15_wfc3_ir_f105w_drz,2017-09-11,HST,WFC3,F105W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_11563_15_wfc3_ir_f105w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_2c_wfc3_ir_f160w/hst_11563_2c_wfc3_ir_f160w_drz.fits,hst_11563_2c_wfc3_ir_f160w_drz,2017-09-10,HST,WFC3,F160W,-2.4999999999999e-05,1.88079096131566e-37,1.88079096131566e-37,2.49999999999999e-05,,,hst_11563_2c_wfc3_ir_f160w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_2f_wfc3_ir_f160w/hst_11563_2f_wfc3_ir_f160w_drz.fits,hst_11563_2f_wfc3_ir_f160w_drz,2017-09-10,HST,WFC3,F160W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_11563_2f_wfc3_ir_f160w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_19_wfc3_ir_f125w/hst_11563_19_wfc3_ir_f125w_drz.fits,hst_11563_19_wfc3_ir_f125w_drz,2017-08-15,HST,WFC3,F125W,-2.4999999999999e-05,-3.761581922631299e-37,-3.761581922631299e-37,2.49999999999999e-05,,,hst_11563_19_wfc3_ir_f125w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_03_wfc3_ir_f105w/hst_11563_03_wfc3_ir_f105w_drz.fits,hst_11563_03_wfc3_ir_f105w_drz,2017-08-22,HST,WFC3,F105W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_11563_03_wfc3_ir_f105w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12062_em_wfc3_ir_f125w/hst_12062_em_wfc3_ir_f125w_drz.fits,hst_12062_em_wfc3_ir_f125w_drz,2017-08-18,HST,WFC3,F125W,-2.5e-05,-6.0937627146627e-35,3.76158192263132e-37,2.50000000000009e-05,,,hst_12062_em_wfc3_ir_f125w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12062_ej_wfc3_ir_f125w/hst_12062_ej_wfc3_ir_f125w_drz.fits,hst_12062_ej_wfc3_ir_f125w_drz,2017-09-11,HST,WFC3,F125W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_12062_ej_wfc3_ir_f125w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12061_mx_wfc3_ir_f160w/hst_12061_mx_wfc3_ir_f160w_drz.fits,hst_12061_mx_wfc3_ir_f160w_drz,2017-09-10,HST,WFC3,F160W,-2.5e-05,1.9043008483321e-36,0.0,2.50000000000009e-05,,,hst_12061_mx_wfc3_ir_f160w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12062_8k_wfc3_ir_f160w/hst_12062_8k_wfc3_ir_f160w_drz.fits,hst_12062_8k_wfc3_ir_f160w_drz,2017-08-28,HST,WFC3,F160W,-2.4999999999999e-05,-1.8807909613156e-37,-1.8807909613156e-37,2.49999999999999e-05,,,hst_12062_8k_wfc3_ir_f160w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_26_wfc3_ir_f105w/hst_12498_26_wfc3_ir_f105w_drz.fits,hst_12498_26_wfc3_ir_f105w_drz,2017-09-09,HST,WFC3,F105W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_12498_26_wfc3_ir_f105w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_04_wfc3_ir_f105w/hst_11563_04_wfc3_ir_f105w_drz.fits,hst_11563_04_wfc3_ir_f105w_drz,2017-08-25,HST,WFC3,F105W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_11563_04_wfc3_ir_f105w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_2e_wfc3_ir_f160w/hst_11563_2e_wfc3_ir_f160w_drz.fits,hst_11563_2e_wfc3_ir_f160w_drz,2017-08-18,HST,WFC3,F160W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_11563_2e_wfc3_ir_f160w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_0a_wfc3_ir_f105w/hst_11563_0a_wfc3_ir_f105w_drz.fits,hst_11563_0a_wfc3_ir_f105w_drz,2017-08-18,HST,WFC3,F105W,-2.4999999999999e-05,3.76158192263132e-37,3.76158192263132e-37,2.49999999999999e-05,,,hst_11563_0a_wfc3_ir_f105w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_0f_wfc3_ir_f125w/hst_11563_0f_wfc3_ir_f125w_drz.fits,hst_11563_0f_wfc3_ir_f125w_drz,2017-08-15,HST,WFC3,F125W,-2.4999999999999e-05,1.88079096131566e-37,1.88079096131566e-37,2.49999999999999e-05,,,hst_11563_0f_wfc3_ir_f125w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_45_wfc3_ir_f105w/hst_12498_45_wfc3_ir_f105w_drz.fits,hst_12498_45_wfc3_ir_f105w_drz,2017-08-17,HST,WFC3,F105W,-2.4999999999999e-05,1.88079096131566e-37,1.88079096131566e-37,2.49999999999999e-05,,,hst_12498_45_wfc3_ir_f105w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_16_wfc3_ir_f105w/hst_12498_16_wfc3_ir_f105w_drz.fits,hst_12498_16_wfc3_ir_f105w_drz,2017-08-28,HST,WFC3,F105W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_12498_16_wfc3_ir_f105w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12099_b3_wfc3_ir_f125w/hst_12099_b3_wfc3_ir_f125w_drz.fits,hst_12099_b3_wfc3_ir_f125w_drz,2017-08-16,HST,WFC3,F125W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_12099_b3_wfc3_ir_f125w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12061_cm_wfc3_ir_f160w/hst_12061_cm_wfc3_ir_f160w_drz.fits,hst_12061_cm_wfc3_ir_f160w_drz,2017-08-25,HST,WFC3,F160W,-2.4999999999999e-05,1.88079096131566e-37,1.88079096131566e-37,2.49999999999999e-05,,,hst_12061_cm_wfc3_ir_f160w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_32_wfc3_ir_f105w/hst_12498_32_wfc3_ir_f105w_drz.fits,hst_12498_32_wfc3_ir_f105w_drz,2017-10-19,HST,WFC3,F105W,-2.4999999999999e-05,-1.8807909613156e-37,-1.8807909613156e-37,2.49999999999999e-05,,,hst_12498_32_wfc3_ir_f105w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_33_wfc3_ir_f105w/hst_12498_33_wfc3_ir_f105w_drz.fits,hst_12498_33_wfc3_ir_f105w_drz,2017-08-13,HST,WFC3,F105W,-2.4999999999999e-05,1.88079096131566e-37,1.88079096131566e-37,2.49999999999999e-05,,,hst_12498_33_wfc3_ir_f105w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_17_wfc3_ir_f105w/hst_12498_17_wfc3_ir_f105w_drz.fits,hst_12498_17_wfc3_ir_f105w_drz,2017-08-19,HST,WFC3,F105W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_12498_17_wfc3_ir_f105w_drz.fits,,,,,,,,,,,,,,,,,,,,,
