SNID,filename,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2,RA_SN,Dec_SN,filenameshort,Galaxy_Key,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Kron_Radius,Mag,Mag_Error,Flux,Flux_Error,CXX,CXY,CYY,a_pixels,b_pixels,theta_deg,PA_deg,theta_rad,a_arcsec,b_arcsec
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_21_wfc3_ir_f160w/hst_11563_21_wfc3_ir_f160w_drz.fits,hst_11563_21_wfc3_ir_f160w_drz,2017-08-21,HST,WFC3,F160W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_11563_21_wfc3_ir_f160w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_13_wfc3_ir_f125w/hst_11563_13_wfc3_ir_f125w_drz.fits,hst_11563_13_wfc3_ir_f125w_drz,2017-08-11,HST,WFC3,F125W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_11563_13_wfc3_ir_f125w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_51_wfc3_ir_f140w/hst_12498_51_wfc3_ir_f140w_drz.fits,hst_12498_51_wfc3_ir_f140w_drz,2017-08-14,HST,WFC3,F140W,-2.4999999999999e-05,1.88079096131566e-37,1.88079096131566e-37,2.49999999999999e-05,,,hst_12498_51_wfc3_ir_f140w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_60_wfc3_ir_f140w/hst_12498_60_wfc3_ir_f140w_drz.fits,hst_12498_60_wfc3_ir_f140w_drz,2017-09-02,HST,WFC3,F140W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_12498_60_wfc3_ir_f140w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_44_wfc3_ir_f105w/hst_12498_44_wfc3_ir_f105w_drz.fits,hst_12498_44_wfc3_ir_f105w_drz,2017-10-23,HST,WFC3,F105W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_12498_44_wfc3_ir_f105w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_29_wfc3_ir_f160w/hst_11563_29_wfc3_ir_f160w_drz.fits,hst_11563_29_wfc3_ir_f160w_drz,2017-08-26,HST,WFC3,F160W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_11563_29_wfc3_ir_f160w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_34_wfc3_ir_f105w/hst_12498_34_wfc3_ir_f105w_drz.fits,hst_12498_34_wfc3_ir_f105w_drz,2017-09-10,HST,WFC3,F105W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_12498_34_wfc3_ir_f105w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_27_wfc3_ir_f105w/hst_12498_27_wfc3_ir_f105w_drz.fits,hst_12498_27_wfc3_ir_f105w_drz,2017-08-20,HST,WFC3,F105W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_12498_27_wfc3_ir_f105w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_01_wfc3_ir_f160w/hst_12498_01_wfc3_ir_f160w_drz.fits,hst_12498_01_wfc3_ir_f160w_drz,2017-08-14,HST,WFC3,F160W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_12498_01_wfc3_ir_f160w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_39_wfc3_ir_f105w/hst_12498_39_wfc3_ir_f105w_drz.fits,hst_12498_39_wfc3_ir_f105w_drz,2017-08-12,HST,WFC3,F105W,-2.4999999999999e-05,1.88079096131566e-37,1.88079096131566e-37,2.49999999999999e-05,,,hst_12498_39_wfc3_ir_f105w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_42_wfc3_ir_f105w/hst_12498_42_wfc3_ir_f105w_drz.fits,hst_12498_42_wfc3_ir_f105w_drz,2017-09-11,HST,WFC3,F105W,-2.4999999999999e-05,-3.761581922631299e-37,-3.761581922631299e-37,2.49999999999999e-05,,,hst_12498_42_wfc3_ir_f105w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12099_b1_wfc3_ir_f125w/hst_12099_b1_wfc3_ir_f125w_drz.fits,hst_12099_b1_wfc3_ir_f125w_drz,2017-09-10,HST,WFC3,F125W,-2.5e-05,0.0,0.0,2.50000000000009e-05,,,hst_12099_b1_wfc3_ir_f125w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_43_wfc3_ir_f160w/hst_11563_43_wfc3_ir_f160w_drz.fits,hst_11563_43_wfc3_ir_f160w_drz,2017-08-12,HST,WFC3,F160W,-2.4999999999999e-05,3.76158192263132e-37,3.76158192263132e-37,2.49999999999999e-05,,,hst_11563_43_wfc3_ir_f160w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_33_wfc3_ir_f160w/hst_11563_33_wfc3_ir_f160w_drz.fits,hst_11563_33_wfc3_ir_f160w_drz,2017-08-27,HST,WFC3,F160W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_11563_33_wfc3_ir_f160w_drz.fits,,,,,,,,,,,,,,,,,,,,,
Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_4j_wfc3_ir_f160w/hst_11563_4j_wfc3_ir_f160w_drz.fits,hst_11563_4j_wfc3_ir_f160w_drz,2017-08-27,HST,WFC3,F160W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_11563_4j_wfc3_ir_f160w_drz.fits,,,,,,,,,,,,,,,,,,,,,
