SNID,filename,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2,B_P,Good_Bad
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_15977_02_wfc3_ir_f125w_ie0z02/hst_15977_02_wfc3_ir_f125w_ie0z02_drz.fits,hst_15977_02_wfc3_ir_f125w_ie0z02_drz,2024-11-09,HST,WFC3,F125W,-3.56E-05,-4.37E-22,3.14E-22,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_12443_3a_wfc3_ir_f160w_iboe3a/hst_12443_3a_wfc3_ir_f160w_iboe3a_drz.fits,hst_12443_3a_wfc3_ir_f160w_iboe3a_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,1.28E-21,-1.15E-22,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_9583_g3_acs_wfc_f775w_j8dng3/hst_9583_g3_acs_wfc_f775w_j8dng3_drc.fits,hst_9583_g3_acs_wfc_f775w_j8dng3_drc,2024-11-05,HST,ACS,F775W,-1.39E-05,5.21E-26,3.03E-26,1.39E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_12444_6l_wfc3_ir_f125w_iboi6l/hst_12444_6l_wfc3_ir_f125w_iboi6l_drz.fits,hst_12444_6l_wfc3_ir_f125w_iboi6l_drz,2024-11-09,HST,WFC3,F125W,-3.56E-05,4.69E-22,-4.02E-22,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_13420_03_wfc3_ir_f105w_icat03/hst_13420_03_wfc3_ir_f105w_icat03_drz.fits,hst_13420_03_wfc3_ir_f105w_icat03_drz,2024-11-09,HST,WFC3,F105W,-3.56E-05,-6.22E-22,-9.32E-23,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_9583_c2_acs_wfc_f775w_j8dnc2/hst_9583_c2_acs_wfc_f775w_j8dnc2_drc.fits,hst_9583_c2_acs_wfc_f775w_j8dnc2_drc,2024-11-05,HST,ACS,F775W,-1.39E-05,-3.63E-22,2.39E-22,1.39E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_9728_bc_acs_wfc_f775w_j8n1bc/hst_9728_bc_acs_wfc_f775w_j8n1bc_drc.fits,hst_9728_bc_acs_wfc_f775w_j8n1bc_drc,2024-11-04,HST,ACS,F775W,-1.39E-05,4.83E-22,1.12E-21,1.39E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_11600_44_wfc3_ir_f140w_ib3744/hst_11600_44_wfc3_ir_f140w_ib3744_drz.fits,hst_11600_44_wfc3_ir_f140w_ib3744_drz,2024-11-09,HST,WFC3,F140W,-3.56E-05,-9.25E-22,-1.25E-21,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_12445_ac_wfc3_ir_f125w_ibtmac/hst_12445_ac_wfc3_ir_f125w_ibtmac_drz.fits,hst_12445_ac_wfc3_ir_f125w_ibtmac_drz,2024-11-09,HST,WFC3,F125W,-3.56E-05,6.39E-22,-5.55E-22,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_15977_05_wfc3_ir_f140w_ie0z05/hst_15977_05_wfc3_ir_f140w_ie0z05_drz.fits,hst_15977_05_wfc3_ir_f140w_ie0z05_drz,2024-11-09,HST,WFC3,F140W,-3.56E-05,2.39E-21,2.28E-21,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_13871_06_wfc3_ir_f140w_icka06/hst_13871_06_wfc3_ir_f140w_icka06_drz.fits,hst_13871_06_wfc3_ir_f140w_icka06_drz,2024-11-09,HST,WFC3,F140W,-3.56E-05,-1.98E-22,4.04E-22,3.56E-05,,
