SNID,filename,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2,B_P,Good_Bad
1981D,/astro/armin/bhoomika/pantheon_data_folder/1981D/mastDownload/HST/hst_17194_13_wfc3_uvis_f625w_iey913/hst_17194_13_wfc3_uvis_f625w_iey913_drc.fits,hst_17194_13_wfc3_uvis_f625w_iey913_drc,2024-11-09,HST,WFC3,F625W,-1.10E-05,3.19E-23,-1.22E-22,1.10E-05,B,F
1981D,/astro/armin/bhoomika/pantheon_data_folder/1981D/mastDownload/HST/hst_13691_36_wfc3_ir_f160w_icnw36/hst_13691_36_wfc3_ir_f160w_icnw36_drz.fits,hst_13691_36_wfc3_ir_f160w_icnw36_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,3.94E-22,9.15E-23,3.56E-05,B,F
1981D,/astro/armin/bhoomika/pantheon_data_folder/1981D/mastDownload/HST/hst_13691_32_wfc3_ir_f160w_icnw32/hst_13691_32_wfc3_ir_f160w_icnw32_drz.fits,hst_13691_32_wfc3_ir_f160w_icnw32_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-1.32E-22,-4.14E-22,3.56E-05,B,F
1981D,/astro/armin/bhoomika/pantheon_data_folder/1981D/mastDownload/HST/hst_13691_37_wfc3_ir_f110w_icnw37/hst_13691_37_wfc3_ir_f110w_icnw37_drz.fits,hst_13691_37_wfc3_ir_f110w_icnw37_drz,2024-11-09,HST,WFC3,F110W,-3.56E-05,1.07E-22,-5.35E-23,3.56E-05,B,T
1981D,/astro/armin/bhoomika/pantheon_data_folder/1981D/mastDownload/HST/hst_11691_03_wfc3_ir_f160w_ib3n03/hst_11691_03_wfc3_ir_f160w_ib3n03_drz.fits,hst_11691_03_wfc3_ir_f160w_ib3n03_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-2.05E-21,-1.09E-21,3.56E-05,B,T
1981D,/astro/armin/bhoomika/pantheon_data_folder/1981D/mastDownload/HST/hst_11691_03_wfc3_ir_f110w_ib3n03/hst_11691_03_wfc3_ir_f110w_ib3n03_drz.fits,hst_11691_03_wfc3_ir_f110w_ib3n03_drz,2024-11-09,HST,WFC3,F110W,-3.56E-05,1.47E-21,1.14E-21,3.56E-05,B,T
1981D,/astro/armin/bhoomika/pantheon_data_folder/1981D/mastDownload/HLA/hst_11691_03_wfc3_ir_f160w/hst_11691_03_wfc3_ir_f160w_drz.fits,hst_11691_03_wfc3_ir_f160w_drz,2017-08-12,HST,WFC3,F160W,-2.50E-05,0,0,2.50E-05,B,nan
1981D,/astro/armin/bhoomika/pantheon_data_folder/1981D/mastDownload/HLA/hst_11691_03_wfc3_ir_f110w/hst_11691_03_wfc3_ir_f110w_drz.fits,hst_11691_03_wfc3_ir_f110w_drz,2017-08-12,HST,WFC3,F110W,-2.50E-05,0,0,2.50E-05,B,nan
2012Z,/astro/armin/bhoomika/pantheon_data_folder/2012Z/mastDownload/HST/hst_15889_02_wfc3_ir_f125w_ie5402/hst_15889_02_wfc3_ir_f125w_ie5402_drz.fits,hst_15889_02_wfc3_ir_f125w_ie5402_drz,2024-11-09,HST,WFC3,F125W,-3.56E-05,-3.67E-23,-4.01E-23,3.56E-05,B,F
2012Z,/astro/armin/bhoomika/pantheon_data_folder/2012Z/mastDownload/HST/hst_11570_20_wfc3_ir_f160w_ib1f20/hst_11570_20_wfc3_ir_f160w_ib1f20_drz.fits,hst_11570_20_wfc3_ir_f160w_ib1f20_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-2.09E-21,-1.05E-21,3.56E-05,B,F
2012Z,/astro/armin/bhoomika/pantheon_data_folder/2012Z/mastDownload/HST/hst_15889_02_wfc3_ir_f160w_ie5402/hst_15889_02_wfc3_ir_f160w_ie5402_drz.fits,hst_15889_02_wfc3_ir_f160w_ie5402_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-3.91E-23,-2.94E-23,3.56E-05,B,F
2012Z,/astro/armin/bhoomika/pantheon_data_folder/2012Z/mastDownload/HST/hst_12913_01_wfc3_uvis_f625w_ibzy01/hst_12913_01_wfc3_uvis_f625w_ibzy01_drc.fits,hst_12913_01_wfc3_uvis_f625w_ibzy01_drc,2024-11-09,HST,WFC3,F625W,-1.10E-05,-2.27E-22,-1.93E-22,1.10E-05,B,F
2012Z,/astro/armin/bhoomika/pantheon_data_folder/2012Z/mastDownload/HST/hst_15889_02_wfc3_ir_f105w_ie5402/hst_15889_02_wfc3_ir_f105w_ie5402_drz.fits,hst_15889_02_wfc3_ir_f105w_ie5402_drz,2024-11-09,HST,WFC3,F105W,-3.56E-05,-2.86E-23,-5.20E-23,3.56E-05,B,F
2012Z,/astro/armin/bhoomika/pantheon_data_folder/2012Z/mastDownload/HST/hst_13360_01_wfc3_uvis_f625w_icb401/hst_13360_01_wfc3_uvis_f625w_icb401_drc.fits,hst_13360_01_wfc3_uvis_f625w_icb401_drc,2024-11-09,HST,WFC3,F625W,-1.10E-05,-1.44E-22,-1.42E-22,1.10E-05,B,F
2012Z,/astro/armin/bhoomika/pantheon_data_folder/2012Z/mastDownload/HST/hst_15889_02_wfc3_ir_f140w_ie5402/hst_15889_02_wfc3_ir_f140w_ie5402_drz.fits,hst_15889_02_wfc3_ir_f140w_ie5402_drz,2024-11-09,HST,WFC3,F140W,-3.56E-05,-1.61E-23,-2.06E-23,3.56E-05,B,F
2012Z,/astro/armin/bhoomika/pantheon_data_folder/2012Z/mastDownload/HLA/hst_12913_01_wfc3_uvis_f625w/hst_12913_01_wfc3_uvis_f625w_drz.fits,hst_12913_01_wfc3_uvis_f625w_drz,2017-08-16,HST,WFC3,F625W,-1.10E-05,5.76E-36,-2.35E-38,1.10E-05,B,F
2012Z,/astro/armin/bhoomika/pantheon_data_folder/2012Z/mastDownload/HLA/hst_11570_20_wfc3_ir_f160w/hst_11570_20_wfc3_ir_f160w_drz.fits,hst_11570_20_wfc3_ir_f160w_drz,2017-08-21,HST,WFC3,F160W,-2.50E-05,0,0,2.50E-05,B,F
ASASSN-16ip,/astro/armin/bhoomika/pantheon_data_folder/ASASSN-16ip/mastDownload/HST/hst_17446_06_wfc3_ir_f110w_if7r06/hst_17446_06_wfc3_ir_f110w_if7r06_drz.fits,hst_17446_06_wfc3_ir_f110w_if7r06_drz,2024-11-09,HST,WFC3,F110W,-3.56E-05,9.70E-22,2.02E-21,3.56E-05,B,F
ASASSN-16ip,/astro/armin/bhoomika/pantheon_data_folder/ASASSN-16ip/mastDownload/HST/hst_17446_30_wfc3_ir_f110w_if7r30/hst_17446_30_wfc3_ir_f110w_if7r30_drz.fits,hst_17446_30_wfc3_ir_f110w_if7r30_drz,2024-11-09,HST,WFC3,F110W,-3.56E-05,2.34E-21,3.92E-21,3.56E-05,B,T
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HST/hst_12461_c2_wfc3_ir_f160w_ibwjc2/hst_12461_c2_wfc3_ir_f160w_ibwjc2_drz.fits,hst_12461_c2_wfc3_ir_f160w_ibwjc2_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,2.16E-23,-9.64E-24,3.56E-05,P,T
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HST/hst_12440_54_wfc3_ir_f125w_iboa54/hst_12440_54_wfc3_ir_f125w_iboa54_drz.fits,hst_12440_54_wfc3_ir_f125w_iboa54_drz,2024-11-09,HST,WFC3,F125W,-3.56E-05,-5.01E-23,2.28E-22,3.56E-05,P,T
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HST/hst_12461_d3_wfc3_ir_f160w_ibwjd3/hst_12461_d3_wfc3_ir_f160w_ibwjd3_drz.fits,hst_12461_d3_wfc3_ir_f160w_ibwjd3_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-1.96E-21,-2.27E-21,3.56E-05,P,T
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HST/hst_12440_10_wfc3_ir_f125w_iboa10/hst_12440_10_wfc3_ir_f125w_iboa10_drz.fits,hst_12440_10_wfc3_ir_f125w_iboa10_drz,2024-11-09,HST,WFC3,F125W,-3.56E-05,-2.48E-22,2.14E-22,3.56E-05,P,T
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HST/hst_12461_c1_wfc3_ir_f160w_ibwjc1/hst_12461_c1_wfc3_ir_f160w_ibwjc1_drz.fits,hst_12461_c1_wfc3_ir_f160w_ibwjc1_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,7.42E-23,1.15E-23,3.56E-05,P,F
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HST/hst_12440_54_wfc3_ir_f160w_iboa54/hst_12440_54_wfc3_ir_f160w_iboa54_drz.fits,hst_12440_54_wfc3_ir_f160w_iboa54_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-2.52E-22,-2.88E-23,3.56E-05,P,T
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HST/hst_12461_c6_wfc3_ir_f125w_ibwjc6/hst_12461_c6_wfc3_ir_f125w_ibwjc6_drz.fits,hst_12461_c6_wfc3_ir_f125w_ibwjc6_drz,2024-11-08,HST,WFC3,F125W,-3.56E-05,-1.70E-22,2.53E-23,3.56E-05,P,T
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HST/hst_12461_c3_wfc3_ir_f160w_ibwjc3/hst_12461_c3_wfc3_ir_f160w_ibwjc3_drz.fits,hst_12461_c3_wfc3_ir_f160w_ibwjc3_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,9.62E-22,1.54E-21,3.56E-05,P,T
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HST/hst_12461_d3_wfc3_ir_f125w_ibwjd3/hst_12461_d3_wfc3_ir_f125w_ibwjd3_drz.fits,hst_12461_d3_wfc3_ir_f125w_ibwjd3_drz,2024-11-09,HST,WFC3,F125W,-3.56E-05,1.47E-21,-1.07E-21,3.56E-05,P,T
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HST/hst_12461_d1_wfc3_ir_f125w_ibwjd1/hst_12461_d1_wfc3_ir_f125w_ibwjd1_drz.fits,hst_12461_d1_wfc3_ir_f125w_ibwjd1_drz,2024-11-09,HST,WFC3,F125W,-3.56E-05,8.38E-22,-5.90E-22,3.56E-05,P,T
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HST/hst_14114_12_wfc3_ir_f160w_icxe12/hst_14114_12_wfc3_ir_f160w_icxe12_drz.fits,hst_14114_12_wfc3_ir_f160w_icxe12_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-3.98E-22,-8.24E-22,3.56E-05,P,F
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HST/hst_12461_d2_wfc3_ir_f160w_ibwjd2/hst_12461_d2_wfc3_ir_f160w_ibwjd2_drz.fits,hst_12461_d2_wfc3_ir_f160w_ibwjd2_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-6.25E-22,-1.42E-21,3.56E-05,P,T
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HST/hst_12461_c5_wfc3_ir_f125w_ibwjc5/hst_12461_c5_wfc3_ir_f125w_ibwjc5_drz.fits,hst_12461_c5_wfc3_ir_f125w_ibwjc5_drz,2024-11-09,HST,WFC3,F125W,-3.56E-05,-1.70E-22,2.53E-23,3.56E-05,P,F
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HST/hst_12461_d1_wfc3_ir_f160w_ibwjd1/hst_12461_d1_wfc3_ir_f160w_ibwjd1_drz.fits,hst_12461_d1_wfc3_ir_f160w_ibwjd1_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-1.00E-21,-1.72E-21,3.56E-05,P,T
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HST/hst_12440_10_wfc3_ir_f160w_iboa10/hst_12440_10_wfc3_ir_f160w_iboa10_drz.fits,hst_12440_10_wfc3_ir_f160w_iboa10_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-1.70E-22,-2.21E-22,3.56E-05,P,T
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HST/hst_12461_d4_wfc3_ir_f125w_ibwjd4/hst_12461_d4_wfc3_ir_f125w_ibwjd4_drz.fits,hst_12461_d4_wfc3_ir_f125w_ibwjd4_drz,2024-11-09,HST,WFC3,F125W,-3.56E-05,-1.96E-21,-1.85E-21,3.56E-05,P,T
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HST/hst_12461_d2_wfc3_ir_f125w_ibwjd2/hst_12461_d2_wfc3_ir_f125w_ibwjd2_drz.fits,hst_12461_d2_wfc3_ir_f125w_ibwjd2_drz,2024-11-09,HST,WFC3,F125W,-3.56E-05,2.00E-21,2.05E-21,3.56E-05,P,T
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HST/hst_12461_c8_wfc3_ir_f105w_ibwjc8/hst_12461_c8_wfc3_ir_f105w_ibwjc8_drz.fits,hst_12461_c8_wfc3_ir_f105w_ibwjc8_drz,2024-11-09,HST,WFC3,F105W,-3.56E-05,-1.70E-22,2.53E-23,3.56E-05,P,F
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HST/hst_12461_c4_wfc3_ir_f125w_ibwjc4/hst_12461_c4_wfc3_ir_f125w_ibwjc4_drz.fits,hst_12461_c4_wfc3_ir_f125w_ibwjc4_drz,2024-11-09,HST,WFC3,F125W,-3.56E-05,9.62E-22,1.54E-21,3.56E-05,P,T
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HST/hst_13792_05_wfc3_ir_f105w_icnq05/hst_13792_05_wfc3_ir_f105w_icnq05_drz.fits,hst_13792_05_wfc3_ir_f105w_icnq05_drz,2024-11-09,HST,WFC3,F105W,-3.56E-05,4.74E-23,1.76E-23,3.56E-05,P,F
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HST/hst_12461_d4_wfc3_ir_f160w_ibwjd4/hst_12461_d4_wfc3_ir_f160w_ibwjd4_drz.fits,hst_12461_d4_wfc3_ir_f160w_ibwjd4_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-2.02E-22,1.73E-22,3.56E-05,P,T
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HST/hst_12461_c7_wfc3_ir_f105w_ibwjc7/hst_12461_c7_wfc3_ir_f105w_ibwjc7_drz.fits,hst_12461_c7_wfc3_ir_f105w_ibwjc7_drz,2024-11-09,HST,WFC3,F105W,-3.56E-05,-1.70E-22,2.53E-23,3.56E-05,P,F
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HLA/hst_12440_10_wfc3_ir_f125w/hst_12440_10_wfc3_ir_f125w_drz.fits,hst_12440_10_wfc3_ir_f125w_drz,2017-08-24,HST,WFC3,F125W,-2.50E-05,-4.70E-38,-4.70E-38,2.50E-05,P,nan
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HLA/hst_12461_d2_wfc3_ir_f125w/hst_12461_d2_wfc3_ir_f125w_drz.fits,hst_12461_d2_wfc3_ir_f125w_drz,2017-09-10,HST,WFC3,F125W,-2.50E-05,0,0,2.50E-05,P,nan
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HLA/hst_12461_d3_wfc3_ir_f160w/hst_12461_d3_wfc3_ir_f160w_drz.fits,hst_12461_d3_wfc3_ir_f160w_drz,2017-08-18,HST,WFC3,F160W,-2.50E-05,6.09E-35,-3.76E-37,2.50E-05,P,nan
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HLA/hst_12461_d2_wfc3_ir_f160w/hst_12461_d2_wfc3_ir_f160w_drz.fits,hst_12461_d2_wfc3_ir_f160w_drz,2017-09-10,HST,WFC3,F160W,-2.50E-05,0,0,2.50E-05,P,nan
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HLA/hst_12461_d3_wfc3_ir_f125w/hst_12461_d3_wfc3_ir_f125w_drz.fits,hst_12461_d3_wfc3_ir_f125w_drz,2017-08-18,HST,WFC3,F125W,-2.50E-05,6.09E-35,-3.76E-37,2.50E-05,P,nan
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HLA/hst_12440_10_wfc3_ir_f160w/hst_12440_10_wfc3_ir_f160w_drz.fits,hst_12440_10_wfc3_ir_f160w_drz,2017-08-24,HST,WFC3,F160W,-2.50E-05,-4.70E-38,-4.70E-38,2.50E-05,P,nan
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HLA/hst_12440_54_wfc3_ir_f160w/hst_12440_54_wfc3_ir_f160w_drz.fits,hst_12440_54_wfc3_ir_f160w_drz,2017-09-11,HST,WFC3,F160W,-2.50E-05,-1.52E-35,9.40E-38,2.50E-05,P,nan
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HLA/hst_12461_d1_wfc3_ir_f160w/hst_12461_d1_wfc3_ir_f160w_drz.fits,hst_12461_d1_wfc3_ir_f160w_drz,2017-09-10,HST,WFC3,F160W,-2.50E-05,-6.09E-35,3.76E-37,2.50E-05,P,nan
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HLA/hst_12461_d4_wfc3_ir_f160w/hst_12461_d4_wfc3_ir_f160w_drz.fits,hst_12461_d4_wfc3_ir_f160w_drz,2017-09-09,HST,WFC3,F160W,-2.50E-05,0,0,2.50E-05,P,nan
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HLA/hst_12440_54_wfc3_ir_f125w/hst_12440_54_wfc3_ir_f125w_drz.fits,hst_12440_54_wfc3_ir_f125w_drz,2017-09-11,HST,WFC3,F125W,-2.50E-05,-1.52E-35,9.40E-38,2.50E-05,P,nan
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HLA/hst_12461_d1_wfc3_ir_f125w/hst_12461_d1_wfc3_ir_f125w_drz.fits,hst_12461_d1_wfc3_ir_f125w_drz,2017-09-10,HST,WFC3,F125W,-2.50E-05,-6.09E-35,3.76E-37,2.50E-05,P,nan
carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HLA/hst_12461_d4_wfc3_ir_f125w/hst_12461_d4_wfc3_ir_f125w_drz.fits,hst_12461_d4_wfc3_ir_f125w_drz,2017-09-09,HST,WFC3,F125W,-2.50E-05,0,0,2.50E-05,P,nan
SCP05D6,/astro/armin/bhoomika/pantheon_data_folder/SCP05D6/mastDownload/HST/hst_10496_o8_acs_wfc_f775w_j9epo8/hst_10496_o8_acs_wfc_f775w_j9epo8_drc.fits,hst_10496_o8_acs_wfc_f775w_j9epo8_drc,2024-11-07,HST,ACS,F775W,-1.39E-05,-3.11E-23,-1.39E-22,1.39E-05,P,F
SCP05D6,/astro/armin/bhoomika/pantheon_data_folder/SCP05D6/mastDownload/HST/hst_10496_o7_acs_wfc_f775w_j9epo7/hst_10496_o7_acs_wfc_f775w_j9epo7_drc.fits,hst_10496_o7_acs_wfc_f775w_j9epo7_drc,2024-11-05,HST,ACS,F775W,-1.39E-05,9.32E-23,-1.56E-22,1.39E-05,P,F
SCP05D6,/astro/armin/bhoomika/pantheon_data_folder/SCP05D6/mastDownload/HST/hst_10496_o6_acs_wfc_f775w_j9epo6/hst_10496_o6_acs_wfc_f775w_j9epo6_drc.fits,hst_10496_o6_acs_wfc_f775w_j9epo6_drc,2024-11-05,HST,ACS,F775W,-1.39E-05,9.93E-23,-1.01E-22,1.39E-05,P,F
SCP05D6,/astro/armin/bhoomika/pantheon_data_folder/SCP05D6/mastDownload/HST/hst_10496_o5_acs_wfc_f775w_j9epo5/hst_10496_o5_acs_wfc_f775w_j9epo5_drc.fits,hst_10496_o5_acs_wfc_f775w_j9epo5_drc,2024-11-04,HST,ACS,F775W,-1.39E-05,-2.42E-22,2.48E-22,1.39E-05,P,F
SCP05D6,/astro/armin/bhoomika/pantheon_data_folder/SCP05D6/mastDownload/HST/hst_10496_o4_acs_wfc_f775w_j9epo4/hst_10496_o4_acs_wfc_f775w_j9epo4_drc.fits,hst_10496_o4_acs_wfc_f775w_j9epo4_drc,2024-11-02,HST,ACS,F775W,-1.39E-05,-5.28E-23,5.11E-24,1.39E-05,P,F
2010ae,/astro/armin/bhoomika/pantheon_data_folder/2010ae/mastDownload/HST/hst_12999_03_acs_wfc_f625w_jc2l03/hst_12999_03_acs_wfc_f625w_jc2l03_drc.fits,hst_12999_03_acs_wfc_f625w_jc2l03_drc,2024-11-05,HST,ACS,F625W,-1.39E-05,1.17E-22,-2.19E-22,1.39E-05,P,T
04D2fp,/astro/armin/bhoomika/pantheon_data_folder/04D2fp/mastDownload/HST/hst_13657_09_wfc3_ir_f160w_icor09/hst_13657_09_wfc3_ir_f160w_icor09_drz.fits,hst_13657_09_wfc3_ir_f160w_icor09_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-1.91E-23,5.97E-22,3.56E-05,P,F
04D2fp,/astro/armin/bhoomika/pantheon_data_folder/04D2fp/mastDownload/HST/hst_12190_13_wfc3_ir_f140w_ibl013/hst_12190_13_wfc3_ir_f140w_ibl013_drz.fits,hst_12190_13_wfc3_ir_f140w_ibl013_drz,2024-11-09,HST,WFC3,F140W,-3.56E-05,-1.26E-21,-3.26E-22,3.56E-05,P,F
04D2fp,/astro/armin/bhoomika/pantheon_data_folder/04D2fp/mastDownload/HST/hst_16684_63_wfc3_ir_f160w_ienn63/hst_16684_63_wfc3_ir_f160w_ienn63_drz.fits,hst_16684_63_wfc3_ir_f160w_ienn63_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,5.26E-22,-3.98E-22,3.56E-05,P,F
04D2fp,/astro/armin/bhoomika/pantheon_data_folder/04D2fp/mastDownload/HST/hst_16684_15_wfc3_ir_f160w_ienn15/hst_16684_15_wfc3_ir_f160w_ienn15_drz.fits,hst_16684_15_wfc3_ir_f160w_ienn15_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-7.61E-22,8.29E-22,3.56E-05,P,F
04D2fp,/astro/armin/bhoomika/pantheon_data_folder/04D2fp/mastDownload/HST/hst_16684_65_wfc3_ir_f160w_ienn65/hst_16684_65_wfc3_ir_f160w_ienn65_drz.fits,hst_16684_65_wfc3_ir_f160w_ienn65_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,2.97E-22,-3.14E-22,3.56E-05,P,F
04D2fp,/astro/armin/bhoomika/pantheon_data_folder/04D2fp/mastDownload/HST/hst_14114_46_wfc3_ir_f160w_icxe46/hst_14114_46_wfc3_ir_f160w_icxe46_drz.fits,hst_14114_46_wfc3_ir_f160w_icxe46_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-9.40E-22,-2.05E-21,3.56E-05,P,F
04D2fp,/astro/armin/bhoomika/pantheon_data_folder/04D2fp/mastDownload/HST/hst_16259_9w_wfc3_ir_f160w_iedw9w/hst_16259_9w_wfc3_ir_f160w_iedw9w_drz.fits,hst_16259_9w_wfc3_ir_f160w_iedw9w_drz,2024-01-12,HST,WFC3,F160W,-3.56E-05,1.69E-21,1.69E-21,3.56E-05,P,F
04D2fp,/astro/armin/bhoomika/pantheon_data_folder/04D2fp/mastDownload/HST/hst_12190_15_wfc3_ir_f140w_ibl015/hst_12190_15_wfc3_ir_f140w_ibl015_drz.fits,hst_12190_15_wfc3_ir_f140w_ibl015_drz,2024-11-09,HST,WFC3,F140W,-3.56E-05,-3.40E-22,2.20E-22,3.56E-05,P,F
04D2fp,/astro/armin/bhoomika/pantheon_data_folder/04D2fp/mastDownload/HST/hst_16259_9t_wfc3_ir_f160w_iedw9t/hst_16259_9t_wfc3_ir_f160w_iedw9t_drz.fits,hst_16259_9t_wfc3_ir_f160w_iedw9t_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-1.06E-21,-1.29E-21,3.56E-05,P,F
04D2fp,/astro/armin/bhoomika/pantheon_data_folder/04D2fp/mastDownload/HST/hst_12578_08_wfc3_ir_f160w_ibra08/hst_12578_08_wfc3_ir_f160w_ibra08_drz.fits,hst_12578_08_wfc3_ir_f160w_ibra08_drz,2024-11-08,HST,WFC3,F160W,-3.56E-05,-8.24E-22,-2.54E-22,3.56E-05,P,F
04D2fp,/astro/armin/bhoomika/pantheon_data_folder/04D2fp/mastDownload/HST/hst_16259_9v_wfc3_ir_f160w_iedw9v/hst_16259_9v_wfc3_ir_f160w_iedw9v_drz.fits,hst_16259_9v_wfc3_ir_f160w_iedw9v_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,1.64E-21,8.94E-22,3.56E-05,P,F
04D2fp,/astro/armin/bhoomika/pantheon_data_folder/04D2fp/mastDownload/HST/hst_16684_08_wfc3_ir_f160w_ienn08/hst_16684_08_wfc3_ir_f160w_ienn08_drz.fits,hst_16684_08_wfc3_ir_f160w_ienn08_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,6.29E-22,-1.94E-22,3.56E-05,P,F
04D2fp,/astro/armin/bhoomika/pantheon_data_folder/04D2fp/mastDownload/HST/hst_13868_24_wfc3_ir_f160w_icp924/hst_13868_24_wfc3_ir_f160w_icp924_drz.fits,hst_13868_24_wfc3_ir_f160w_icp924_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-6.75E-22,1.43E-21,3.56E-05,P,F
04D2fp,/astro/armin/bhoomika/pantheon_data_folder/04D2fp/mastDownload/HST/hst_13641_09_wfc3_ir_f160w_icow09/hst_13641_09_wfc3_ir_f160w_icow09_drz.fits,hst_13641_09_wfc3_ir_f160w_icow09_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,5.01E-22,-1.43E-23,3.56E-05,P,F
04D2fp,/astro/armin/bhoomika/pantheon_data_folder/04D2fp/mastDownload/HST/hst_16684_05_wfc3_ir_f160w_ienn05/hst_16684_05_wfc3_ir_f160w_ienn05_drz.fits,hst_16684_05_wfc3_ir_f160w_ienn05_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,5.31E-22,-2.68E-22,3.56E-05,P,F
04D2fp,/astro/armin/bhoomika/pantheon_data_folder/04D2fp/mastDownload/HST/hst_14721_05_wfc3_ir_f160w_id6p05/hst_14721_05_wfc3_ir_f160w_id6p05_drz.fits,hst_14721_05_wfc3_ir_f160w_id6p05_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-2.77E-22,-4.32E-22,3.56E-05,P,F
04D2fp,/astro/armin/bhoomika/pantheon_data_folder/04D2fp/mastDownload/HST/hst_16684_16_wfc3_ir_f160w_ienn16/hst_16684_16_wfc3_ir_f160w_ienn16_drz.fits,hst_16684_16_wfc3_ir_f160w_ienn16_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,9.21E-22,1.65E-21,3.56E-05,P,F
04D2fp,/astro/armin/bhoomika/pantheon_data_folder/04D2fp/mastDownload/HST/hst_13641_01_wfc3_ir_f160w_icow01/hst_13641_01_wfc3_ir_f160w_icow01_drz.fits,hst_13641_01_wfc3_ir_f160w_icow01_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-7.49E-22,-2.21E-23,3.56E-05,P,F
04D2fp,/astro/armin/bhoomika/pantheon_data_folder/04D2fp/mastDownload/HST/hst_16684_13_wfc3_ir_f160w_ienn13/hst_16684_13_wfc3_ir_f160w_ienn13_drz.fits,hst_16684_13_wfc3_ir_f160w_ienn13_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-1.04E-21,-9.37E-22,3.56E-05,P,F
