SNID,File_key,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Kron_Radius,Mag,Mag_Error,Flux,Flux_Error,ISOAREA_IMAGE,X_IMAGE,Y_IMAGE,CXX,CXY,CYY,OFFSET,RE,d_DLR,F_HOST_41981D,hst_17194_13_wfc3_uvis_f625w_iey913_drc,50.6517999,-37.2064783,-44.6,0.898,0.531,5.66,0.7501,0.2888,0.5011437,0.1332673,4,3304.9661,4934.0693,2.3765671,2.3050072,2.4087896,2456.9333289671836,0.03892241278575705,63123.87010771988,0.14242
ASASSN-16ip,hst_17446_06_wfc3_ir_f110w_if7r06_drz,36.8392874,-23.9281348,25.73,15.556,10.398,3.5,-5.7454,0.0114,198.6825,2.093826,1102,618.6278,728.2718,0.0050967038,-0.0040017078,0.0082847187,40.47963715623414,55.380967574068784,0.7309304789970491,0.07709999999999995
ASASSN-16ip,hst_17446_30_wfc3_ir_f110w_if7r30_drz,36.8409339,-23.9287359,-26.04,48.037,36.734,3.5,-12.8058,0.0001,132537.6,6.243592,97187,633.8278,744.0051,0.00049268617,0.00024279361,0.00068176904,5.233980104604229,200.735997568834,0.02607394870872353,0.6288400000000001
carter,hst_12461_c2_wfc3_ir_f160w_ibwjc2_drz,150.061235,2.1923603,77.46,0.733,0.647,4.74,-0.2367,0.2065,1.243632,0.2364697,5,889.3313,433.0357,2.3650615,-0.22410153,1.8861454,4.527001090694215,3.5060674159430176,1.2911905430308446,0.03761000000000003
carter,hst_12440_54_wfc3_ir_f125w_iboa54_drz,150.0613194,2.1923678,30.38,1.049,0.863,4.34,-0.9744,0.088,2.453401,0.1988278,15,911.0143,517.2684,1.0200903,-0.37742469,1.2312878,2.228667341276519,5.226086724018395,0.4264505085676942,0.13438000000000005
carter,hst_12461_d3_wfc3_ir_f160w_ibwjd3_drz,150.0613337,2.1923556,32.38,1.132,1.014,4.08,-0.3737,0.1043,1.410876,0.1354364,15,1098.3761,683.1884,0.83526629,-0.17514843,0.91781449,1.7614857094078449,5.754217788127788,0.30612079248063495,0.17950999999999995
carter,hst_12440_10_wfc3_ir_f125w_iboa10_drz,150.0613057,2.19236,89.84,0.771,0.498,4.16,0.5119,0.2442,0.624053,0.1403041,6,943.4562,550.9883,4.0308928,-0.012955577,1.6817249,2.5572120931693454,2.112640326277346,1.2104341952401207,0.04110999999999998
carter,hst_12461_c1_wfc3_ir_f160w_ibwjc1_drz,150.0792931,2.1790187,-1.57,161.815,12.224,3.5,-16.7386,0.0001,4959428.0,315.2281,36036,382.7878,58.5488,4.3199358e-05,0.00036496023,0.0066867764,626.0685472221915,446.92805167765266,1.4008262512771161,0.033519999999999994
carter,hst_12440_54_wfc3_ir_f160w_iboa54_drz,150.0613145,2.1923649,25.61,0.978,0.817,3.5,-0.4206,0.077,1.473096,0.1045054,11,911.1533,517.1885,1.1308538,-0.35256615,1.4141036,2.342322533363803,3.8311309997040186,0.6113919188732423,0.09384999999999999
carter,hst_12461_c6_wfc3_ir_f125w_ibwjc6_drz,150.0612462,2.1923644,-55.52,0.948,0.762,3.96,-0.5623,0.1595,1.678505,0.246561,10,914.194,459.6072,1.5261284,0.56658524,1.3081255,4.225133027368899,4.329763350271665,0.9758346324179124,0.05452999999999997
carter,hst_12461_c3_wfc3_ir_f160w_ibwjc3_drz,150.0612601,2.1923387,-19.84,0.735,0.449,6.03,-0.3137,0.2075,1.335028,0.25506,5,995.2321,550.5947,2.207238,1.9793818,4.5927248,3.808129821818428,4.782763196778755,0.7962196046802498,0.06984000000000001
