,SNID,filename,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2,RA_SN,Dec_SN,filenameshort,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Kron_Radius,Mag,Mag_Error,Flux,Flux_Error,ISOAREA_IMAGE,X_IMAGE,Y_IMAGE,CXX,CXY,CYY,OFFSET,RE,d_DLR,F_HOST_4,a_pixels,b_pixels,theta_deg,alpha_deg,PA_deg,theta_rad,pixscale,a_arcsec,b_arcsec
2618,Frodo,/astro/armin/bhoomika/pantheon_data_folder/Frodo/mastDownload/HLA/hst_12099_b2_wfc3_ir_f125w/hst_12099_b2_wfc3_ir_f125w_drz.fits,hst_12099_b2_wfc3_ir_f125w_drz,2017-09-10,HST,WFC3,F125W,-2.4999999999999e-05,1.88079096131566e-37,1.88079096131566e-37,2.49999999999999e-05,,,hst_12099_b2_wfc3_ir_f125w_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,-4.310455369189625e-31,,,0.08999999999999801,,
2619,2013Q,/astro/armin/bhoomika/pantheon_data_folder/2013Q/mastDownload/HST/hst_17270_04_wfc3_ir_f160w_if3404/hst_17270_04_wfc3_ir_f160w_if3404_drz.fits,hst_17270_04_wfc3_ir_f160w_if3404_drz,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-1.9417993708503e-22,-3.8419217586825e-22,3.56250007947286e-05,,,hst_17270_04_wfc3_ir_f160w_if3404_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,3.123000873794882e-16,,,0.1282500028610219,,
2620,2002cr,/astro/armin/bhoomika/pantheon_data_folder/2002cr/mastDownload/HST/hst_15145_53_wfc3_ir_f160w_idgg53/hst_15145_53_wfc3_ir_f160w_idgg53_drz.fits,hst_15145_53_wfc3_ir_f160w_idgg53_drz,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,4.38857216206775e-22,-2.2901157308883003e-22,3.56250007947285e-05,,,hst_15145_53_wfc3_ir_f160w_idgg53_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,-7.058151785705836e-16,,,0.1282500028610217,,
2621,2002cr,/astro/armin/bhoomika/pantheon_data_folder/2002cr/mastDownload/HST/hst_15145_57_wfc3_ir_f160w_idgg57/hst_15145_57_wfc3_ir_f160w_idgg57_drz.fits,hst_15145_57_wfc3_ir_f160w_idgg57_drz,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-2.0506931701329002e-21,-1.4547911572674e-21,3.56250007947285e-05,,,hst_15145_57_wfc3_ir_f160w_idgg57_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,3.2981350485276224e-15,,,0.1282500028610217,,
2622,2002cr,/astro/armin/bhoomika/pantheon_data_folder/2002cr/mastDownload/HST/hst_15145_51_wfc3_ir_f160w_idgg51/hst_15145_51_wfc3_ir_f160w_idgg51_drz.fits,hst_15145_51_wfc3_ir_f160w_idgg51_drz,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,5.64900698627297e-22,-4.9699454434882e-22,3.56250007947285e-05,,,hst_15145_51_wfc3_ir_f160w_idgg51_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,-9.085312323733365e-16,,,0.1282500028610217,,
2623,2002cr,/astro/armin/bhoomika/pantheon_data_folder/2002cr/mastDownload/HST/hst_15145_5b_wfc3_ir_f160w_idgg5b/hst_15145_5b_wfc3_ir_f160w_idgg5b_drz.fits,hst_15145_5b_wfc3_ir_f160w_idgg5b_drz,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,6.60770254602497e-22,4.48023614121245e-22,3.56250007947285e-05,,,hst_15145_5b_wfc3_ir_f160w_idgg5b_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,-1.0627184834227443e-15,,,0.1282500028610217,,
2624,2002cr,/astro/armin/bhoomika/pantheon_data_folder/2002cr/mastDownload/HST/hst_15145_55_wfc3_ir_f160w_idgg55/hst_15145_55_wfc3_ir_f160w_idgg55_drz.fits,hst_15145_55_wfc3_ir_f160w_idgg55_drz,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-1.2516827742412001e-21,-2.3700330351219e-21,3.56250007947285e-05,,,hst_15145_55_wfc3_ir_f160w_idgg55_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,2.0130845937794053e-15,,,0.1282500028610217,,
2625,2002cr,/astro/armin/bhoomika/pantheon_data_folder/2002cr/mastDownload/HST/hst_17194_18_wfc3_uvis_f625w_iey918/hst_17194_18_wfc3_uvis_f625w_iey918_drc.fits,hst_17194_18_wfc3_uvis_f625w_iey918_drc,2024-11-09,HST,WFC3,F625W,-1.1005555796954e-05,4.50051707078186e-22,4.865331489852179e-22,1.10055557969543e-05,,,hst_17194_18_wfc3_uvis_f625w_iey918_drc.fits,,,,,,,,,,,,,,,,,,,,,,,,-2.3430041929708037e-15,,,0.03962000086903494,,
2626,2002cr,/astro/armin/bhoomika/pantheon_data_folder/2002cr/mastDownload/HST/hst_15145_59_wfc3_ir_f160w_idgg59/hst_15145_59_wfc3_ir_f160w_idgg59_drz.fits,hst_15145_59_wfc3_ir_f160w_idgg59_drz,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,6.1465258003004015e-22,5.61799574327813e-22,3.56250007947285e-05,,,hst_15145_59_wfc3_ir_f160w_idgg59_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,-9.885473099486778e-16,,,0.1282500028610217,,
2627,1972E,/astro/armin/bhoomika/pantheon_data_folder/1972E/mastDownload/HST/hst_6716_05_wfpc2_pc_f170w_u41905/hst_6716_05_wfpc2_pc_f170w_u41905_drz.fits,hst_6716_05_wfpc2_pc_f170w_u41905_drz,2025-05-02,HST,WFPC2,F170W,-1.2638333333333e-05,0.0,0.0,1.26383333333333e-05,,,hst_6716_05_wfpc2_pc_f170w_u41905_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,-0.0,,,0.04549799999999934,,
